Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint 75th Ave Phoenix,175840512,2026-01-12T20:22:07.96,509946992,13804747,22292880,1,5,0.06,5,5,0.7,g,2521677,Government Oasis x Government Oasis.H37.43.2025,DISTRIBUTION - GTL LLC,No,No,* Happy Hour Pre-roll Northern & 75th & Buckeye,5,City/State Tax:0; Excise 16%:0
Mint 75th Ave Phoenix,175840512,2026-01-12T20:22:07.96,509929231,13796788,22245345,1,30,7.5,30,15,2.1,g,8470742313712597,LIL.EXO09082025,DISTRIBUTION - GTL LLC,No,No,50% Off Lil Leafers Preroll 6pk 2.1g,15,City/State Tax:1.365; Excise 16%:2.4
Mint 75th Ave Phoenix,175840512,2026-01-12T20:22:07.96,509929233,13796790,22283059,1,30,7.5,30,15,2.1,g,6286956358618145,LIL.IND10152025,75th Ave - M&T Retail Facility 1 LLC,No,No,50% Off Lil Leafers Preroll 6pk 2.1g,15,City/State Tax:1.365; Excise 16%:2.4
Mint 75th Ave Phoenix,175840730,2026-01-12T19:44:02.58,509930162,12931419,22275688,1,50,22.5,50,37.5,1,g,008197523968,A011/DR0010/P1000mg,DISTRIBUTION - GTL LLC,No,No,75% Off Nebula - All Products EP,37.5,City/State Tax:1.1375
Mint 75th Ave Phoenix,175840730,2026-01-12T19:44:02.58,509930153,12931419,22275688,1,50,22.5,50,37.5,1,g,008197523968,A011/DR0010/P1000mg,DISTRIBUTION - GTL LLC,No,No,75% Off Nebula - All Products EP,37.5,City/State Tax:1.1375
Mint 75th Ave Phoenix,175840730,2026-01-12T19:44:02.58,509930161,12931419,22275688,1,50,22.5,50,37.5,1,g,008197523968,A011/DR0010/P1000mg,DISTRIBUTION - GTL LLC,No,No,75% Off Nebula - All Products EP,37.5,City/State Tax:1.1375
Mint 75th Ave Phoenix,175840730,2026-01-12T19:44:02.58,509930159,12931419,22275688,1,50,22.5,50,37.5,1,g,008197523968,A011/DR0010/P1000mg,DISTRIBUTION - GTL LLC,No,No,75% Off Nebula - All Products EP,37.5,City/State Tax:1.1375
Mint 75th Ave Phoenix,175840730,2026-01-12T19:44:02.58,509930156,12931419,22275688,1,50,22.5,50,37.5,1,g,008197523968,A011/DR0010/P1000mg,DISTRIBUTION - GTL LLC,No,No,75% Off Nebula - All Products EP,37.5,City/State Tax:1.1375
Mint 75th Ave Phoenix,175840730,2026-01-12T19:44:02.58,509945838,13804747,22292880,1,5,0.06,5,5,0.7,g,2521677,Government Oasis x Government Oasis.H37.43.2025,DISTRIBUTION - GTL LLC,No,No,* Happy Hour Pre-roll Northern & 75th & Buckeye,5,City/State Tax:0
Mint 75th Ave Phoenix,175841863,2026-01-12T23:03:02.643,509934081,13799808,22306856,1,60,30,60,12,2,g,VTRG250807-BTQ,VTRG250807 / VBAB250807,DISTRIBUTION - GTL LLC,No,No,*Nocturnal Nugs All Locations(excl Mesa) 8pm-10pm,12,City/State Tax:4.368; Excise 16%:7.68
