Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Bell Road Phoenix,175840370,2026-01-13T13:25:59.34,509957825,13803889,22302748,30,13.93,13.93,417.9,0,14,g,2520716,WCG 1014 F201,DISTRIBUTION - GTL LLC,No,No,,,
Mint Bell Road Phoenix,175840370,2026-01-13T13:25:59.34,509957823,13797117,22295660,32,7.3,7.3,233.6,0,3.5,g,2518631,BKRS 0611 F207,DISTRIBUTION - GTL LLC,No,No,,,
Mint Bell Road Phoenix,175840370,2026-01-13T13:25:59.34,509957821,13803638,22295658,30,13.93,13.93,417.9,0,14,g,2520590,BKRS 0611 F207,DISTRIBUTION - GTL LLC,No,No,,,
Mint Bell Road Phoenix,175840370,2026-01-13T13:25:59.34,509957811,13798638,22237541,30,12.32,12.32,369.6,0,14,g,2518632,BKRS 0611 F207,DISTRIBUTION - GTL LLC,No,No,,,
Mint Bell Road Phoenix,175840370,2026-01-13T13:25:59.34,509957810,13798638,22237533,25,15.4,15.4,385,0,14,g,2516922,BKRS 0708 F205,DISTRIBUTION - GTL LLC,No,No,,,
Mint Bell Road Phoenix,175840370,2026-01-13T13:25:59.34,509957818,13801848,22291751,32,7.3,7.3,233.6,0,3.5,g,2519280,CK 0923 F204,DISTRIBUTION - GTL LLC,No,No,,,
Mint Bell Road Phoenix,175840370,2026-01-13T13:25:59.34,509957816,13801725,22291746,30,13.93,13.93,417.9,0,14,g,2519206,CK 0923 F204,DISTRIBUTION - GTL LLC,No,No,,,
Mint Bell Road Phoenix,175840370,2026-01-13T13:25:59.34,509957812,13798774,22247185,30,12.32,12.32,369.6,0,14,g,2519443,HBOG 0715 F204,DISTRIBUTION - GTL LLC,No,No,,,
Mint Bell Road Phoenix,175840370,2026-01-13T13:25:59.34,509957830,13799853,22302753,32,7.3,7.3,233.6,0,3.5,g,2519419,HBOG 0715 F204,DISTRIBUTION - GTL LLC,No,No,,,
Mint Bell Road Phoenix,175840370,2026-01-13T13:25:59.34,509957809,13798774,22219058,23,12.32,12.32,283.36,0,14,g,2518202,HBOG 0819 F207,DISTRIBUTION - GTL LLC,No,No,,,
