Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Bonita Springs ,175845318,2026-01-12T19:11:14.273,509944742,13793924,22097587,1,10,7.64,10,0,1,g,9135353750102181,SS.PR.ORZ.070725.FLA,Cannabist FL,No,No,,,
Mint Bonita Springs ,175845318,2026-01-12T19:11:14.273,509944752,13803823,22272880,1,10,7.34,10,0,1,g,9248027510307905,MC.PR.GDP.102925.FLA,Mint Cannabis,No,No,,,
Mint Bonita Springs ,175847863,2026-01-13T14:12:21.86,509958980,13804064,22241440,1,12,3.36,12,0,,g,1960389530808835,1960389530808835,Cannabist FL,No,No,,,
Mint Bonita Springs ,175847863,2026-01-13T14:12:21.86,509952711,13804359,22290822,1,60,20.33,60,38,1,g,7664038955276157,MC.V.HKB.120825.FLA,Mint Cannabis,No,No,2 1G Vapes $44,38,
Mint Bonita Springs ,175847863,2026-01-13T14:12:21.86,509952712,13804359,22290822,1,60,20.33,60,38,1,g,7664038955276157,MC.V.HKB.120825.FLA,Mint Cannabis,No,No,2 1G Vapes $44,38,
Mint Bonita Springs ,175848848,2026-01-13T12:08:12.39,509953176,13732407,21986675,1,45,17.31,45,22.5,1,g,3090042307158682,CO.DL.RSO.MBXWC.031425.FLA,Cannabist FL,No,No,50% Off Select Dablicators,22.5,
Mint Bonita Springs ,175848848,2026-01-13T12:08:12.39,509953177,13732407,21986675,1,45,17.31,45,22.5,1,g,3090042307158682,CO.DL.RSO.MBXWC.031425.FLA,Cannabist FL,No,No,50% Off Select Dablicators,22.5,
Mint Bonita Springs ,175849069,2026-01-13T14:25:03.093,509955965,13804382,22290823,1,10,7.64,10,10,1,g,3721060900808702,MC.PR.MF#2.102925.FLA,Mint Cannabis,No,No,FREE Birthday Pre-Roll,10,
Mint Bonita Springs ,175849109,2026-01-13T10:43:18.493,509954063,13804064,22241440,1,12,3.36,12,3,,g,1960389530808835,1960389530808835,Cannabist FL,No,No,25% OFF for Patients 55+,3,
Mint Bonita Springs ,175849109,2026-01-13T10:43:18.493,509954039,13801108,22256043,1,95,20,95,52.25,2,g,0327110656710961,WTF.AIO.D.APS.100925.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,52.25,
Mint Bonita Springs ,175849109,2026-01-13T10:43:18.493,509954035,13801110,22256169,1,95,20,95,52.25,2,g,0728658895545795,WTF.AIO.D.BBR.101225.FLA2,Cannabist FL,No,No,55% Off ALL Distillate Vapes,52.25,
Mint Bonita Springs ,175849167,2026-01-13T10:47:32.517,509954169,13801490,22260322,1,15,5.07,15,0,,g,01508,01508,Cannabist FL,No,No,,,
Mint Bonita Springs ,175849397,2026-01-13T11:39:10.623,509955032,13804358,22290821,1,65,,65,43,1,g,5695117204107569,MCP.CO.V.GVB.120425.FLA,Mint Cannabis,No,No,2 1G Vapes $44,43,
Mint Bonita Springs ,175849397,2026-01-13T11:39:10.623,509955034,13804358,22290821,1,65,,65,43,1,g,5695117204107569,MCP.CO.V.GVB.120425.FLA,Mint Cannabis,No,No,2 1G Vapes $44,43,
Mint Bonita Springs ,175849397,2026-01-13T11:39:10.623,509955035,13804358,22290821,1,65,,65,43,1,g,5695117204107569,MCP.CO.V.GVB.120425.FLA,Mint Cannabis,No,No,2 1G Vapes $44,43,
Mint Bonita Springs ,175849397,2026-01-13T11:39:10.623,509954980,13804383,22302387,1,120,52,120,60,14,g,2519480488797194,MC.SRH.120925.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,60,
Mint Bonita Springs ,175849397,2026-01-13T11:39:10.623,509954982,13804383,22302387,1,120,52,120,60,14,g,2519480488797194,MC.SRH.120925.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,60,
Mint Bonita Springs ,175849397,2026-01-13T11:39:10.623,509954984,13804383,22302387,1,120,52,120,60,14,g,2519480488797194,MC.SRH.120925.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,60,
Mint Bonita Springs ,175849397,2026-01-13T11:39:10.623,509954985,13804383,22302387,1,120,52,120,60,14,g,2519480488797194,MC.SRH.120925.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,60,
Mint Bonita Springs ,175849397,2026-01-13T11:39:10.623,509955037,13804358,22290821,1,65,,65,43,1,g,5695117204107569,MCP.CO.V.GVB.120425.FLA,Mint Cannabis,No,No,2 1G Vapes $44,43,
Mint Bonita Springs ,175849397,2026-01-13T11:39:10.623,509955040,13804358,22290821,1,65,,65,43,1,g,5695117204107569,MCP.CO.V.GVB.120425.FLA,Mint Cannabis,No,No,2 1G Vapes $44,43,
Mint Bonita Springs ,175849397,2026-01-13T11:39:10.623,509955041,13804358,22290821,1,65,,65,43,1,g,5695117204107569,MCP.CO.V.GVB.120425.FLA,Mint Cannabis,No,No,2 1G Vapes $44,43,
Mint Bonita Springs ,175849397,2026-01-13T11:39:10.623,509955073,13804359,22290822,1,60,20.33,60,38,1,g,7664038955276157,MC.V.HKB.120825.FLA,Mint Cannabis,No,No,2 1G Vapes $44,38,
