Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Bradenton,175846153,2026-01-12T20:26:21.527,509947085,13803666,22266746,1,45,,45,0,3.5,g,8275246536829135,MCP.KM2.111925.FLA,Mint Cannabis,No,No,,,
Mint Bradenton,175846153,2026-01-12T20:26:21.527,509947155,13803666,22266746,1,45,,45,45,3.5,g,8275246536829135,MCP.KM2.111925.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Premium 3.5g",45,
Mint Bradenton,175848649,2026-01-13T16:27:59.403,509952657,13804383,22301974,1,120,52,120,72,14,g,6636324356248029,MC.SRH.120925.FLA,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),72,
Mint Bradenton,175848687,2026-01-13T08:51:08.493,509952709,13803823,22273920,1,10,7.34,10,0,1,g,9116929768326643,MC.PR.GDP.102925.FLA,Mint Cannabis,No,No,,,
Mint Bradenton,175848687,2026-01-13T08:51:08.493,509952708,13804385,22301988,1,35,,35,15,3.5,g,2633743283075153,MC.ALB.120125.FLA,Mint Cannabis,No,No,$20  Mint Cannabis 3.5G,15,
Mint Bradenton,175849061,2026-01-13T10:35:05.153,509953922,13793924,22096097,1,10,7.64,10,10,1,g,5926146538711481,SS.PR.ORZ.070725.FLA,Cannabist FL,No,No,FREE Birthday Pre-Roll,10,
Mint Bradenton,175849061,2026-01-13T10:35:05.153,509953884,13803664,22266748,1,35,10.5,35,15.25,3.5,g,1941260556098161,MC.AND.110325.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Bradenton,175849061,2026-01-13T10:35:05.153,509953885,13803664,22266748,1,35,10.5,35,15.25,3.5,g,1941260556098161,MC.AND.110325.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Bradenton,175849061,2026-01-13T10:35:05.153,509953886,13803664,22266748,1,35,10.5,35,15.25,3.5,g,1941260556098161,MC.AND.110325.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Bradenton,175849061,2026-01-13T10:35:05.153,509953887,13803664,22266748,1,35,10.5,35,15.25,3.5,g,1941260556098161,MC.AND.110325.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Bradenton,175849398,2026-01-13T11:31:20.407,509954972,13800852,22226691,1,25,5.61,25,10,0.1,g,1353257015873864,MC.BLUB.DIST.101525.FLA,Cannabist FL,No,No,2 For $30 Chews,10,
Mint Bradenton,175849398,2026-01-13T11:31:20.407,509954974,13802536,22250721,1,25,5.61,25,10,0.1,g,4543256654848014,MC.DIST.BLAB.102025.FLA,Cannabist FL,No,No,2 For $30 Chews,10,
Mint Bradenton,175849398,2026-01-13T11:31:20.407,509954955,13778839,22250724,1,75,10,75,41.25,1,g,8887049783017376,WTF.AIO.D.PEX.101225.FLA1,Cannabist FL,No,No,55% Off ALL Distillate Vapes,41.25,
Mint Bradenton,175849619,2026-01-13T17:00:39.26,509955926,13804352,22283154,1,45,10.5,45,20,3.5,g,6455356610017073,MCP.LCM.112625.FLA,Mint Cannabis,No,No,$25 Mint Premium 3.5G,20,
Mint Bradenton,175850047,2026-01-13T13:07:40.04,509957370,13793924,22096097,1,10,7.64,10,10,1,g,5926146538711481,SS.PR.ORZ.070725.FLA,Cannabist FL,No,No,200 Loyalty Points FREE Product,10,
Mint Bradenton,175850047,2026-01-13T13:07:40.04,509957342,13803664,22266748,1,35,10.5,35,15.25,3.5,g,1941260556098161,MC.AND.110325.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Bradenton,175850047,2026-01-13T13:07:40.04,509957343,13803664,22266748,1,35,10.5,35,15.25,3.5,g,1941260556098161,MC.AND.110325.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Bradenton,175850047,2026-01-13T13:07:40.04,509957344,13804385,22301988,1,35,,35,15.25,3.5,g,2633743283075153,MC.ALB.120125.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
