Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Brandon,175815849,2026-01-13T16:24:24.27,509962857,13801492,22260388,1,15,6.95,15,15,,g,00361,00361,Mint Cannabis,No,No,400 loyalty  points - Hats,15,
Mint Brandon,175842848,2026-01-13T16:31:49.673,509962966,13801670,22260396,1,10,0.01,10,10,,g,00102,00102,Mint Cannabis,No,No,Product Sample Program (1 item per week),10,
Mint Brandon,175845179,2026-01-12T19:01:01.067,509944392,13801117,22256009,1,95,20,95,57,2,g,3933520259524647,WTF.AIO.D.PEX.101225.FLA2,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),57,
Mint Brandon,175845179,2026-01-12T19:01:01.067,509944335,13804352,22287526,1,45,10.5,45,27,3.5,g,2867622930910456,MCP.LCM.112625.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),27,
Mint Brandon,175845179,2026-01-12T19:01:01.067,509944332,13804385,22302308,1,35,,35,21,3.5,g,4818799450445720,MC.ALB.120125.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),21,
Mint Brandon,175845179,2026-01-12T19:01:01.067,509944409,13804383,22302316,1,120,52,120,72,14,g,9751312612296728,MC.SRH.120925.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),72,
Mint Brandon,175845492,2026-01-12T19:25:01.86,509945243,13804385,22302308,1,35,,35,17.5,3.5,g,4818799450445720,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Brandon,175845492,2026-01-12T19:25:01.86,509945245,13804385,22302308,1,35,,35,17.5,3.5,g,4818799450445720,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Brandon,175845746,2026-01-12T19:47:12.88,509945886,13793921,22096086,1,10,7.64,10,6,1,g,3244876000199387,CLX.PR.PUP.070725.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),6,
Mint Brandon,175845746,2026-01-12T19:47:12.88,509945887,13793921,22096086,1,10,7.64,10,6,1,g,3244876000199387,CLX.PR.PUP.070725.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),6,
Mint Brandon,175845746,2026-01-12T19:47:12.88,509945890,13793921,22096086,1,10,7.64,10,6,1,g,3244876000199387,CLX.PR.PUP.070725.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),6,
Mint Brandon,175845746,2026-01-12T19:47:12.88,509945892,13793921,22096086,1,10,7.64,10,6,1,g,3244876000199387,CLX.PR.PUP.070725.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),6,
Mint Brandon,175845746,2026-01-12T19:47:12.88,509945893,13793921,22096086,1,10,7.64,10,6,1,g,3244876000199387,CLX.PR.PUP.070725.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),6,
