Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Buckeye/Verado,175840895,2026-01-12T20:40:34.8,509947611,13805435,22306461,1,20,12,20,8,1,g,62485,THC.FITA.121825,DISTRIBUTION - GTL LLC,No,No,40% Dr. Greenthumb Concentrates 1g EDLP,8,City/State Tax:0.756; Excise 16%:1.92
Mint Buckeye/Verado,175840895,2026-01-12T20:40:34.8,509947610,13805435,22306461,1,20,12,20,8,1,g,62485,THC.FITA.121825,DISTRIBUTION - GTL LLC,No,No,40% Dr. Greenthumb Concentrates 1g EDLP,8,City/State Tax:0.756; Excise 16%:1.92
Mint Buckeye/Verado,175840895,2026-01-12T20:40:34.8,509947599,13804747,22296698,1,5,1,5,5,0.7,g,2521643,Government Oasis x Government Oasis.H37.43.2025,DISTRIBUTION - GTL LLC,No,No,* Happy Hour Pre-roll Northern & 75th & Buckeye,5,City/State Tax:0; Excise 16%:0
Mint Buckeye/Verado,175840984,2026-01-12T19:49:38.26,509930730,13597115,22302656,1,60,30,60,30,2,g,2622134,2511251111,DISTRIBUTION - GTL LLC,No,No,$30 WTF Distillate AIO 2g,30,City/State Tax:1.89; Excise 16%:4.8
Mint Buckeye/Verado,175840984,2026-01-12T19:49:38.26,509946009,13804747,22296698,1,5,1,5,5,0.7,g,2521643,Government Oasis x Government Oasis.H37.43.2025,DISTRIBUTION - GTL LLC,No,No,* Happy Hour Pre-roll Northern & 75th & Buckeye,5,City/State Tax:0; Excise 16%:0
Mint Buckeye/Verado,175841243,2026-01-12T19:06:49.007,509931474,12337078,22285915,1,45,30,45,18,3.5,g,23522224,20251006PBM-3T3-5,DISTRIBUTION - GTL LLC,No,No,40% Off Aeriz -Prepack Flower 3.5g MON,18,City/State Tax:1.701; Excise 16%:4.32
Mint Buckeye/Verado,175841243,2026-01-12T19:06:49.007,509931475,13724802,22285908,1,45,30,45,18,3.5,g,23522220,20251006TNK-3T1T2,DISTRIBUTION - GTL LLC,No,No,40% Off Aeriz -Prepack Flower 3.5g MON,18,City/State Tax:1.701; Excise 16%:4.32
Mint Buckeye/Verado,175841243,2026-01-12T19:06:49.007,509931478,13805502,22306413,1,60,39,60,0,2,g,ST0905-BTQ,ST0905/NY0905/PF0905,DISTRIBUTION - GTL LLC,No,No,,,City/State Tax:3.78; Excise 16%:9.6
Mint Buckeye/Verado,175841243,2026-01-12T19:06:49.007,509931476,13795061,22302611,1,40,17,40,16,2.5,g,MFG-072925-662,ST-40MORS-G2925,DISTRIBUTION - GTL LLC,No,No,40% Off Stiiizy - 40's Infused Prerolls and Blunts EDLP,16,City/State Tax:1.512; Excise 16%:3.84
Mint Buckeye/Verado,175841902,2026-01-12T20:16:53.487,509933899,13773511,22307247,1,18,11,18,4.5,0.1,g,MFG-DATE-04082025LIFT,LIFT04082025,DISTRIBUTION - GTL LLC,No,No,* Monday Madness 25%  Manager override,4.5,City/State Tax:0.8505; Excise 16%:2.16
Mint Buckeye/Verado,175841902,2026-01-12T20:16:53.487,509933903,13503668,22235996,1,18,9,18,4.5,0.1,g,pfp09262025,PFP09262025,DISTRIBUTION - GTL LLC,No,No,* Monday Madness 25%  Manager override,4.5,City/State Tax:0.8505; Excise 16%:2.16
Mint Buckeye/Verado,175841902,2026-01-12T20:16:53.487,509933897,13503668,22235996,1,18,9,18,4.5,0.1,g,pfp09262025,PFP09262025,DISTRIBUTION - GTL LLC,No,No,* Monday Madness 25%  Manager override,4.5,City/State Tax:0.8505; Excise 16%:2.16
Mint Buckeye/Verado,175842696,2026-01-12T19:56:25.177,509946291,13803859,22307094,1,5,1,5,5,0.7,g,2520776,APPLESCOTTI (PHX1187-APSC),DISTRIBUTION - GTL LLC,No,No,* Happy Hour Pre-roll Northern & 75th & Buckeye,5,City/State Tax:0; Excise 16%:0
Mint Buckeye/Verado,175842696,2026-01-12T19:56:25.177,509946277,13796958,22299839,1,45,39,45,10,2,g,2512058v,CAZ2502L-DP-B,DISTRIBUTION - GTL LLC,No,No,$35 Select - Essentials AIO BRIQ 2g,10,City/State Tax:2.205; Excise 16%:5.6
Mint Buckeye/Verado,175843035,2026-01-12T20:20:09.53,509937367,13768799,22299086,1,10,6,10,0,0.1,g,DB006,25-1208-20,DISTRIBUTION - GTL LLC,No,No,,,City/State Tax:0.63; Excise 16%:1.6
Mint Buckeye/Verado,175843035,2026-01-12T20:20:09.53,509937366,13768799,22299086,1,10,6,10,2,0.1,g,DB006,25-1208-20,DISTRIBUTION - GTL LLC,No,No,3 for $24 SIP Elixirs EDLP,2,City/State Tax:0.504; Excise 16%:1.28
Mint Buckeye/Verado,175843035,2026-01-12T20:20:09.53,509937363,13768799,22299086,1,10,6,10,2,0.1,g,DB006,25-1208-20,DISTRIBUTION - GTL LLC,No,No,3 for $24 SIP Elixirs EDLP,2,City/State Tax:0.504; Excise 16%:1.28
Mint Buckeye/Verado,175843035,2026-01-12T20:20:09.53,509937368,13768802,22299085,1,10,6,10,2,0.1,g,WM006,25-1208-21,DISTRIBUTION - GTL LLC,No,No,3 for $24 SIP Elixirs EDLP,2,City/State Tax:0.504; Excise 16%:1.28
Mint Buckeye/Verado,175843035,2026-01-12T20:20:09.53,509946991,13804747,22296698,1,5,1,5,5,0.7,g,2521643,Government Oasis x Government Oasis.H37.43.2025,DISTRIBUTION - GTL LLC,No,No,* Happy Hour Pre-roll Northern & 75th & Buckeye,5,City/State Tax:0; Excise 16%:0
Mint Buckeye/Verado,175843035,2026-01-12T20:20:09.53,509937361,12337078,22285915,1,45,30,45,18,3.5,g,23522224,20251006PBM-3T3-5,DISTRIBUTION - GTL LLC,No,No,40% Off Aeriz -Prepack Flower 3.5g MON,18,City/State Tax:1.701; Excise 16%:4.32
Mint Buckeye/Verado,175843704,2026-01-12T21:49:40.253,509949158,13554550,22296704,1,16,8,16,3.52,1,g,LMTH250703-1D,LMTH250703,DISTRIBUTION - GTL LLC,No,No,Veteran Discount,3.52,City/State Tax:0.7862; Excise 16%:1.9968
Mint Buckeye/Verado,175843843,2026-01-12T21:11:08.75,509940597,11485234,22266463,1,18,12,18,4.5,0.1,g,108101525,AZ EB B147,DISTRIBUTION - GTL LLC,No,No,* Monday Madness 25%  Manager override,4.5,City/State Tax:0.8505; Excise 16%:2.16
Mint Buckeye/Verado,175843962,2026-01-12T19:06:56.183,509940698,13798432,22300403,1,19,11,19,4,1,g,2520886,BHOHYB-042525,DISTRIBUTION - GTL LLC,No,No,$15 WTF 1g Cured Concentrates,4,City/State Tax:0.945; Excise 16%:2.4
