Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Cape Coral,175840318,2026-01-13T12:19:54.98,509955968,13800870,22273554,1,60,20.33,60,33,1,g,5989887321180732,MC.V.PNC.100325.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,33,
Mint Cape Coral,175845294,2026-01-12T19:08:12.227,509944699,13805390,22087971,1,45,17.98,45,0,3.5,g,6287698665859088,777.TKG.070525.FLA,Cannabist FL,No,No,,,
Mint Cape Coral,175845294,2026-01-12T19:08:12.227,509944700,13805390,22087971,1,45,17.98,45,45,3.5,g,6287698665859088,777.TKG.070525.FLA,Cannabist FL,No,No,"OR Buy One at Full Price, Get One Free - Premium 3.5g",45,
Mint Cape Coral,175845294,2026-01-12T19:08:12.227,509944702,13803664,22266568,1,35,10.5,35,17.5,3.5,g,3902136053983181,MC.AND.110325.FLA,Cannabist FL,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Cape Coral,175845294,2026-01-12T19:08:12.227,509944704,13803664,22266568,1,35,10.5,35,17.5,3.5,g,3902136053983181,MC.AND.110325.FLA,Cannabist FL,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Cape Coral,175848615,2026-01-13T08:06:03.093,509952575,13804355,22282733,1,35,10.5,35,15.25,3.5,g,9713642505857207,MCP.LCM.112625.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Cape Coral,175848615,2026-01-13T08:06:03.093,509952576,13804355,22282733,1,35,10.5,35,15.25,3.5,g,9713642505857207,MCP.LCM.112625.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Cape Coral,175848615,2026-01-13T08:06:03.093,509952577,13804355,22282733,1,35,10.5,35,15.25,3.5,g,9713642505857207,MCP.LCM.112625.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Cape Coral,175848615,2026-01-13T08:06:03.093,509952578,13804355,22282733,1,35,10.5,35,15.25,3.5,g,9713642505857207,MCP.LCM.112625.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Cape Coral,175848633,2026-01-13T08:18:20.443,509952629,13800868,22262973,1,60,20.33,60,38,1,g,1505655052746356,MC.V.CAC.101325.FLA,Mint Cannabis,No,No,2 1G Vapes $44,38,
Mint Cape Coral,175848633,2026-01-13T08:18:20.443,509952630,13800870,22273554,1,60,20.33,60,38,1,g,5989887321180732,MC.V.PNC.100325.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint Cape Coral,175848654,2026-01-13T08:27:46.953,509952658,13804042,22282783,1,45,13.91,45,16,1,g,1708847932646283,MC.CR.STZ.102225.FLA,Mint Cannabis,No,No,"$29 Shatter, Crumble & Dablicators/Syringes",16,
Mint Cape Coral,175848808,2026-01-13T09:35:01.08,509953080,13800871,22262980,1,60,20.33,60,38,1,g,6763757113955231,MC.V.PUP.100325.FLA,Mint Cannabis,No,No,2 1G Vapes $44,38,
Mint Cape Coral,175848808,2026-01-13T09:35:01.08,509953082,13800871,22262980,1,60,20.33,60,38,1,g,6763757113955231,MC.V.PUP.100325.FLA,Mint Cannabis,No,No,2 1G Vapes $44,38,
Mint Cape Coral,175848808,2026-01-13T09:35:01.08,509953089,13804384,22290906,1,35,,35,15.25,3.5,g,0668545340275639,MC.SRH.120825.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Cape Coral,175848808,2026-01-13T09:35:01.08,509953090,13804384,22290906,1,35,,35,15.25,3.5,g,0668545340275639,MC.SRH.120825.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Cape Coral,175848808,2026-01-13T09:35:01.08,509953091,13804384,22290906,1,35,,35,15.25,3.5,g,0668545340275639,MC.SRH.120825.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Cape Coral,175848808,2026-01-13T09:35:01.08,509953092,13804384,22290906,1,35,,35,15.25,3.5,g,0668545340275639,MC.SRH.120825.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Cape Coral,175848855,2026-01-13T09:49:27.17,509953218,13778839,22250614,1,75,10,75,41.25,1,g,5959266604228558,WTF.AIO.D.PEX.101225.FLA1,Cannabist FL,No,No,55% Off ALL Distillate Vapes,41.25,
Mint Cape Coral,175848855,2026-01-13T09:49:27.17,509953215,13800860,22250615,1,75,10,75,41.25,1,g,6423515110064046,WTF.AIO.D.AFS.100925.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,41.25,
Mint Cape Coral,175849379,2026-01-13T11:29:01.66,509954938,13778839,22250614,1,75,10,75,41.25,1,g,5959266604228558,WTF.AIO.D.PEX.101225.FLA1,Cannabist FL,No,No,55% Off ALL Distillate Vapes,41.25,
Mint Cape Coral,175849379,2026-01-13T11:29:01.66,509954924,13801113,22255946,1,95,20,95,52.25,2,g,7802176844683121,WTF.AIO.D.GPL.101125.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,52.25,
Mint Cape Coral,175849379,2026-01-13T11:29:01.66,509954927,13801117,22255949,1,95,20,95,52.25,2,g,2424891363804718,WTF.AIO.D.PEX.101225.FLA2,Cannabist FL,No,No,55% Off ALL Distillate Vapes,52.25,
Mint Cape Coral,175849379,2026-01-13T11:29:01.66,509954928,13801111,22255953,1,95,20,95,52.25,2,g,5726181167790222,WTF.AIO.D.FUP.101225.FLA2,Cannabist FL,No,No,55% Off ALL Distillate Vapes,52.25,
Mint Cape Coral,175849379,2026-01-13T11:29:01.66,509954926,13801110,22255954,1,95,20,95,52.25,2,g,6335061655308029,WTF.AIO.D.BBR.101225.FLA2,Cannabist FL,No,No,55% Off ALL Distillate Vapes,52.25,
