Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Delray Beach,175845845,2026-01-12T19:55:25.9,509946228,13804359,22292073,1,60,20.33,60,33,1,g,4335501548175765,MC.V.HKB.120825.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,33,
Mint Delray Beach,175846097,2026-01-12T20:21:19.987,509946997,13803878,22275209,1,45,11.25,45,9,1,g,5532332146073127,MCP.L.BH.MBxWC.111725.FLA,Cannabist FL,No,No,~Nocturnal Nugs 20% (NOT STACKABLE),9,
Mint Delray Beach,175846097,2026-01-12T20:21:19.987,509946986,13797953,22298761,1,45,17.31,45,15.75,1,g,9381193751267391,DL.SSD.082725.FLA,Cannabist FL,No,No,"35% Off Shatter, Crumble, Syringes & Dablicators",15.75,
Mint Delray Beach,175846097,2026-01-12T20:21:19.987,509946989,13797953,22298761,1,45,17.31,45,15.75,1,g,9381193751267391,DL.SSD.082725.FLA,Cannabist FL,No,No,"35% Off Shatter, Crumble, Syringes & Dablicators",15.75,
Mint Delray Beach,175846097,2026-01-12T20:21:19.987,509946995,13804361,22303347,1,45,11.25,45,9,1,g,4888172014995374,MP.BH.MC.101025.FLA,Cannabist FL,No,No,~Nocturnal Nugs 20% (NOT STACKABLE),9,
Mint Delray Beach,175846097,2026-01-12T20:21:19.987,509947006,13804361,22303347,1,45,11.25,45,9,1,g,4888172014995374,MP.BH.MC.101025.FLA,Cannabist FL,No,No,~Nocturnal Nugs 20% (NOT STACKABLE),9,
Mint Delray Beach,175848550,2026-01-13T11:11:20.793,509952525,13804358,22292072,1,65,,65,43,1,g,8394641371562086,MCP.CO.V.GVB.120425.FLA,Cannabist FL,No,No,2 1G Vapes $44,43,
Mint Delray Beach,175848550,2026-01-13T11:11:20.793,509952526,13804358,22292072,1,65,,65,43,1,g,8394641371562086,MCP.CO.V.GVB.120425.FLA,Cannabist FL,No,No,2 1G Vapes $44,43,
Mint Delray Beach,175848623,2026-01-13T08:10:50.2,509952597,13804385,22303345,1,35,,35,15,3.5,g,5228383040146546,MC.ALB.120125.FLA,Cannabist FL,No,No,$20  Mint Cannabis 3.5G,15,
Mint Delray Beach,175848986,2026-01-13T14:23:26.637,509953955,13801108,22255975,1,95,20,95,57,2,g,9883457522399046,WTF.AIO.D.AFS.101225.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),57,
Mint Delray Beach,175848986,2026-01-13T14:23:26.637,509953960,13801114,22255985,1,95,20,95,57,2,g,6527654510386163,WTF.AIO.D.JFOG.101225.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),57,
Mint Delray Beach,175849025,2026-01-13T10:40:15.55,509953892,13800871,22266625,1,60,20.33,60,38,1,g,5659546816708390,MC.V.PUP.100325.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint Delray Beach,175849025,2026-01-13T10:40:15.55,509953894,13804359,22292073,1,60,20.33,60,38,1,g,4335501548175765,MC.V.HKB.120825.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint Delray Beach,175849025,2026-01-13T10:40:15.55,509954008,13804385,22303345,1,35,,35,15,3.5,g,5228383040146546,MC.ALB.120125.FLA,Cannabist FL,No,No,$20  Mint Cannabis 3.5G,15,
Mint Delray Beach,175849085,2026-01-13T10:38:39.243,509953973,13803823,22275202,1,10,7.34,10,10,1,g,7613813614338586,MC.PR.GDP.102925.FLA,Cannabist FL,No,No,FREE Birthday Pre-Roll,10,
Mint Delray Beach,175849085,2026-01-13T10:38:39.243,509953976,13798386,22275247,1,20,,20,4,0.1,g,4342408879182448,MCP.CD.RSO.DCH.102825.FLA,Cannabist FL,No,No,$16 Chocolates,4,
Mint Delray Beach,175849085,2026-01-13T10:38:39.243,509953928,13804358,22292072,1,65,,65,43,1,g,8394641371562086,MCP.CO.V.GVB.120425.FLA,Cannabist FL,No,No,2 1G Vapes $44,43,
Mint Delray Beach,175849085,2026-01-13T10:38:39.243,509953917,13804359,22292073,1,60,20.33,60,38,1,g,4335501548175765,MC.V.HKB.120825.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint Delray Beach,175849201,2026-01-13T11:39:51.2,509954549,13804385,22303345,1,35,,35,15,3.5,g,5228383040146546,MC.ALB.120125.FLA,Cannabist FL,No,No,$20  Mint Cannabis 3.5G,15,
Mint Delray Beach,175849207,2026-01-13T11:59:49.12,509954500,13797953,22298761,1,45,17.31,45,16,1,g,9381193751267391,DL.SSD.082725.FLA,Cannabist FL,No,No,"$29 Shatter, Crumble & Dablicators/Syringes",16,
Mint Delray Beach,175849310,2026-01-13T12:22:42.903,509956021,13803666,22266623,1,45,,45,23.63,3.5,g,2436510184317131,MCP.KM2.111925.FLA,Cannabist FL,No,No,2nd Patient 60% Off (Orders $301 or MORE),23.63,
Mint Delray Beach,175849310,2026-01-13T12:22:42.903,509956022,13803666,22266623,1,45,,45,23.63,3.5,g,2436510184317131,MCP.KM2.111925.FLA,Cannabist FL,No,No,2nd Patient 60% Off (Orders $301 or MORE),23.63,
Mint Delray Beach,175849310,2026-01-13T12:22:42.903,509954747,13805390,22275060,1,45,10.5,45,23.87,3.5,g,8847249752491207,MCP.TKG.111725.FLA,Cannabist FL,No,No,2nd Patient 60% Off (Orders $301 or MORE),23.87,
Mint Delray Beach,175849310,2026-01-13T12:22:42.903,509954745,13804352,22283987,1,45,10.5,45,23.63,3.5,g,5507597674989881,MCP.LCM.112625.FLA,Cannabist FL,No,No,2nd Patient 60% Off (Orders $301 or MORE),23.63,
Mint Delray Beach,175849310,2026-01-13T12:22:42.903,509954756,13804352,22283987,1,45,10.5,45,23.63,3.5,g,5507597674989881,MCP.LCM.112625.FLA,Cannabist FL,No,No,2nd Patient 60% Off (Orders $301 or MORE),23.63,
Mint Delray Beach,175849310,2026-01-13T12:22:42.903,509954758,13732435,22290222,1,35,13.73,35,16.73,3.5,g,2291045698628382,SS.SNB.091525.FLA,Cannabist FL,No,No,2nd Patient 60% Off (Orders $301 or MORE),16.73,
Mint Delray Beach,175849310,2026-01-13T12:22:42.903,509954757,13804359,22292073,1,60,20.33,60,25.78,1,g,4335501548175765,MC.V.HKB.120825.FLA,Cannabist FL,No,No,2nd Patient 60% Off (Orders $301 or MORE),25.78,
Mint Delray Beach,175849310,2026-01-13T12:22:42.903,509954742,13804385,22303345,1,35,,35,19.1,3.5,g,5228383040146546,MC.ALB.120125.FLA,Cannabist FL,No,No,2nd Patient 60% Off (Orders $301 or MORE),19.1,
Mint Delray Beach,175849432,2026-01-13T11:38:31.93,509955049,13803397,22267130,1,55,,55,33,3.5,g,0203304575837422,SHANGO.DVD.111825.TPA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),33,
Mint Delray Beach,175849432,2026-01-13T11:38:31.93,509955050,13804385,22303345,1,35,,35,21,3.5,g,5228383040146546,MC.ALB.120125.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),21,
Mint Delray Beach,175849432,2026-01-13T11:38:31.93,509955052,13800694,22216366,1,120,52,120,72,14,g,5109854317449835,SAC.MC.101025.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),72,
Mint Delray Beach,175849432,2026-01-13T11:38:31.93,509955053,13800694,22216366,1,120,52,120,72,14,g,5109854317449835,SAC.MC.101025.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),72,
Mint Delray Beach,175849432,2026-01-13T11:38:31.93,509955057,13804383,22303344,1,120,52,120,72,14,g,5255872385481066,MC.SRH.120925.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),72,
Mint Delray Beach,175849432,2026-01-13T11:38:31.93,509955058,13804383,22303344,1,120,52,120,72,14,g,5255872385481066,MC.SRH.120925.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),72,
Mint Delray Beach,175849571,2026-01-13T11:59:07.707,509955535,13732498,22275204,1,45,17.17,45,16,1,g,5685455339953691,MC.SH.CAR.113025.FLA,Cannabist FL,No,No,"$29 Shatter, Crumble & Dablicators/Syringes",16,
Mint Delray Beach,175849571,2026-01-13T11:59:07.707,509955545,13804385,22303345,1,35,,35,15,3.5,g,5228383040146546,MC.ALB.120125.FLA,Cannabist FL,No,No,$20  Mint Cannabis 3.5G,15,
Mint Delray Beach,175850055,2026-01-13T13:00:57.503,509957211,13804358,22292072,1,65,,65,35.75,1,g,8394641371562086,MCP.CO.V.GVB.120425.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,35.75,
Mint Delray Beach,175850765,2026-01-13T14:23:20.443,509959237,13803878,22275209,1,45,11.25,45,27,1,g,5532332146073127,MCP.L.BH.MBxWC.111725.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),27,
Mint Delray Beach,175850765,2026-01-13T14:23:20.443,509959244,13804361,22303347,1,45,11.25,45,27,1,g,4888172014995374,MP.BH.MC.101025.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),27,
