Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Jacksonville,175841870,2026-01-13T14:05:30.95,509952924,13803618,22270734,1,75,27.7,75,33,1.5,g,3126094564882291,MC.C.F.THC.102125.FLA,Mint Cannabis,No,No,44% Off  Retired Hero's,33,
Mint Jacksonville,175845727,2026-01-12T19:52:48.793,509945863,13803665,22270718,1,35,10.5,35,17.5,3.5,g,7261636475995985,MC.LH.110625.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Jacksonville,175845727,2026-01-12T19:52:48.793,509945864,13803665,22270718,1,35,10.5,35,17.5,3.5,g,7261636475995985,MC.LH.110625.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Jacksonville,175845727,2026-01-12T19:52:48.793,509945938,13803666,22270727,1,45,5.61,45,45,0.1,g,3930870780919137,MCP.KM2.111925.FLA,Mint Cannabis,No,No,~Manager Discount (Stackable & Note on Name Line),45,
Mint Jacksonville,175845727,2026-01-12T19:52:48.793,509945878,13804383,22299736,1,120,52,120,48,14,g,2011851038491530,MC.SRH.120925.FLA,Mint Cannabis,No,No,Spend $225 Save 40% off **Does not Stack with Deals**,48,
Mint Jacksonville,175845727,2026-01-12T19:52:48.793,509945994,13804385,22299737,1,35,,35,14.7,3.5,g,8584910802097924,MC.ALB.120125.FLA,Mint Cannabis,No,No,42% Off Mint Cannabis 3.5G,14.7,
Mint Jacksonville,175848645,2026-01-13T12:22:16.553,509956029,13803823,22270733,1,10,7.34,10,10,1,g,0662012787959132,MC.PR.GDP.102925.FLA,Mint Cannabis,No,No,200 Loyalty Points FREE Product,10,
Mint Jacksonville,175848645,2026-01-13T12:22:16.553,509952671,13803618,22270734,1,75,27.7,75,33,1.5,g,3126094564882291,MC.C.F.THC.102125.FLA,Mint Cannabis,No,No,44% Off  Retired Hero's,33,
Mint Jacksonville,175848767,2026-01-13T09:54:06.87,509952960,13797953,22167837,1,45,17.31,45,16,1,g,5756446883947436,DL.SSD.082725.FLA,Cannabist FL,No,No,"$29 Shatter, Crumble & Dablicators/Syringes",16,
Mint Jacksonville,175848850,2026-01-13T09:44:33.957,509953186,13798387,22289636,1,20,,20,8.8,0.1,g,5515694205610004,MCP.CD.RSO.MCH.101425.FLA,Mint Cannabis,No,No,44% Off  Retired Hero's,8.8,
