Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Kalamazoo,175845037,2026-01-12T19:02:15.477,509944194,13804087,22289933,14.13,3.18471762,1.32,45.0000599706,6.53,,g,1A40503000548BD000017577,1A4050300020405000001619,MC Distribution,No,No,TAX FREE DELI FLOWER,6.53,Rec Tax:3.847; State Sales Tax:2.539
Mint Kalamazoo,175845037,2026-01-12T19:02:15.477,509944367,13724861,21617410,1,13,6.5,13,5.2,0.02,g,1A405030002A5BD000063856,1A405030002A5BD000061758,MC Distribution,No,No,KZ - Clearance Edibles - 40% OFF,5.2,Rec Tax:0.78; State Sales Tax:0.5148
Mint Kalamazoo,175845037,2026-01-12T19:02:15.477,509944101,13727419,22298391,7.13,3.15568443,1.32159,22.5000299859,3.26,,g,1A4050300029A6A000259718,1A4050300029A6A000245901,Common Citizen,No,No,TAX FREE DELI FLOWER,3.26,Rec Tax:1.924; State Sales Tax:1.2698
Mint Kalamazoo,175845037,2026-01-12T19:02:15.477,509944031,13794753,22305790,1,3,1,3,0.84,1,g,1A4050300039EF6000020756,1A4050300039EF6000017418,Canapa Valley Farms,No,No,Infused Prerolls - 7 FOR $15,0.84,Rec Tax:0.216; State Sales Tax:0.1426
Mint Kalamazoo,175845037,2026-01-12T19:02:15.477,509944023,13794757,22303417,1,3,1,3,0.86,1,g,1A4050300039EF6000020721,1A4050300039EF6000015763,Canapa Valley Farms,No,No,Infused Prerolls - 7 FOR $15,0.86,Rec Tax:0.214; State Sales Tax:0.1412
Mint Kalamazoo,175845037,2026-01-12T19:02:15.477,509944021,13794757,22303417,1,3,1,3,0.86,1,g,1A4050300039EF6000020721,1A4050300039EF6000015763,Canapa Valley Farms,No,No,Infused Prerolls - 7 FOR $15,0.86,Rec Tax:0.214; State Sales Tax:0.1412
Mint Kalamazoo,175845037,2026-01-12T19:02:15.477,509944026,13794758,22290451,1,3,1,3,0.86,1,g,1A4050300039EF6000020792,1A4050300039EF6000020665,Canapa Valley Farms,No,No,Infused Prerolls - 7 FOR $15,0.86,Rec Tax:0.214; State Sales Tax:0.1412
Mint Kalamazoo,175845037,2026-01-12T19:02:15.477,509944024,13794758,22290451,1,3,1,3,0.86,1,g,1A4050300039EF6000020792,1A4050300039EF6000020665,Canapa Valley Farms,No,No,Infused Prerolls - 7 FOR $15,0.86,Rec Tax:0.214; State Sales Tax:0.1412
Mint Kalamazoo,175845037,2026-01-12T19:02:15.477,509944030,13797284,22287397,1,3,1,3,0.86,1,g,1A4050300039EF6000018838,1A4050300039EF6000015794,MC Distro,No,No,Infused Prerolls - 7 FOR $15,0.86,Rec Tax:0.214; State Sales Tax:0.1412
Mint Kalamazoo,175845037,2026-01-12T19:02:15.477,509944028,13797285,22276800,1,3,1,3,0.86,1,g,1A4050300039EF6000018907,1A4050300039EF6000015791,MC Distro,No,No,Infused Prerolls - 7 FOR $15,0.86,Rec Tax:0.214; State Sales Tax:0.1412
Mint Kalamazoo,175845037,2026-01-12T19:02:15.477,509944033,13797852,22176423,1,34.5,15,34.5,12,3,g,1A405030001AA2D000044088,1A405030001AA2D000037941,MC Distro,No,No,Swisher 2 Pack  1.5g's - 2 FOR $45,12,Rec Tax:2.25; State Sales Tax:1.485
Mint Kalamazoo,175845037,2026-01-12T19:02:15.477,509944034,13797851,22176420,1,34.5,15,34.5,12,3,g,1A405030001AA2D000041823,1A405030001AA2D000038978,MC Distro,No,No,Swisher 2 Pack  1.5g's - 2 FOR $45,12,Rec Tax:2.25; State Sales Tax:1.485
Mint Kalamazoo,175845037,2026-01-12T19:02:15.477,509944020,13804818,22297914,1,23,10,23,0,2,g,1A40503000591C9000014149,1A40503000591C9000011312,Element Enterprises LLC,No,No,,,Rec Tax:2.3; State Sales Tax:1.518
Mint Kalamazoo,175845145,2026-01-12T19:14:54.737,509944246,13728646,22066128,1,3.45,1.5,3.45,0.4928,0.2,g,1A4050300030A22000048207,1A4050300030A22000039902,MC Distribution,No,No,,0.4928,Rec Tax:0.296; State Sales Tax:0.1954
Mint Kalamazoo,175845145,2026-01-12T19:14:54.737,509944245,13728646,22066128,1,3.45,1.5,3.45,0.4928,0.2,g,1A4050300030A22000048207,1A4050300030A22000039902,MC Distribution,No,No,,0.4928,Rec Tax:0.296; State Sales Tax:0.1954
Mint Kalamazoo,175845145,2026-01-12T19:14:54.737,509944242,13208418,21969235,1,2.3,1.35,2.3,0.3285,0.2,g,1A40503000548BD000008767,1A4050300030A22000039907,MC Distribution,No,No,,0.3285,Rec Tax:0.197; State Sales Tax:0.13
Mint Kalamazoo,175845145,2026-01-12T19:14:54.737,509944247,13684953,22289823,1,5,2,5,0.7142,0.2,g,1A4050300005C96001557111,1A4050300005C96001472378,"Choice Labs, LLC",No,No,,0.7142,Rec Tax:0.429; State Sales Tax:0.2831
Mint Kalamazoo,175845145,2026-01-12T19:14:54.737,509944243,13695189,22281719,1,6.9,2.5,6.9,0.9855,0.2,g,1A405030005139D000021946,1A405030005139D000020388,MC Distro,No,No,,0.9855,Rec Tax:0.591; State Sales Tax:0.3901
Mint Kalamazoo,175845145,2026-01-12T19:14:54.737,509944254,13801949,22247476,1,28.99988,15.4,28.99988,4.1421,28,g,1A40503000548BD000017018,1A40503000454FD000007342,MC Distro,No,No,,4.1421,Rec Tax:2.486; State Sales Tax:1.6408
Mint Kalamazoo,175845145,2026-01-12T19:14:54.737,509944239,13798488,22289840,1,3.25,1.4,3.25,0.4642,0.2,g,1A40503000548BD000015421,1A405030005058E000018215,"75 Labs, Detour",No,No,,0.4642,Rec Tax:0.279; State Sales Tax:0.1841
Mint Kalamazoo,175845196,2026-01-12T19:03:55.113,509944481,13805177,22307641,1,34.5,15,34.5,12,3,g,1A405030001AA2D000062887,1A405030001AA2D000062887,MC Distro,No,No,Swisher 2 Pack  1.5g's - 2 FOR $45,12,Rec Tax:2.25; State Sales Tax:1.485
Mint Kalamazoo,175845196,2026-01-12T19:03:55.113,509944478,13805179,22307650,1,34.5,15,34.5,12,3,g,1A405030001AA2D000051651,1A405030001AA2D000051651,MC Distro,No,No,Swisher 2 Pack  1.5g's - 2 FOR $45,12,Rec Tax:2.25; State Sales Tax:1.485
Mint Kalamazoo,175845196,2026-01-12T19:03:55.113,509944479,13805180,22307643,1,34.5,15,34.5,12,3,g,1A405030001AA2D000058161,1A405030001AA2D000058161,MC Distro,No,No,Swisher 2 Pack  1.5g's - 2 FOR $45,12,Rec Tax:2.25; State Sales Tax:1.485
Mint Kalamazoo,175845196,2026-01-12T19:03:55.113,509944484,13805160,22307642,1,34.5,15,34.5,12,3,g,1A405030001AA2D000061185,1A405030001AA2D000061185,MC Distro,No,No,Swisher 2 Pack  1.5g's - 2 FOR $45,12,Rec Tax:2.25; State Sales Tax:1.485
Mint Kalamazoo,175845196,2026-01-12T19:03:55.113,509944393,13804824,22297917,1,28.75,12.5,28.75,5.75,2,g,1A40503000591C9000013015,1A40503000591C9000006262,Element Enterprises LLC,No,No,GROUP - 20% STUDENT,5.75,Rec Tax:2.3; State Sales Tax:1.518
