Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Longwood,175845202,2026-01-12T19:10:35.663,509944658,13804384,22289658,1,35,,35,21,3.5,g,3847595408241865,MC.SRH.120825.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),21,
Mint Longwood,175845202,2026-01-12T19:10:35.663,509944664,13804384,22289658,1,35,,35,21,3.5,g,3847595408241865,MC.SRH.120825.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),21,
Mint Longwood,175845429,2026-01-12T19:54:49.693,509946094,13800865,22256019,1,75,10,75,45,1,g,0399483464084848,WTF.AIO.D.LCG.101125.FLA,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),45,
Mint Longwood,175845429,2026-01-12T19:54:49.693,509946125,13804384,22289658,1,35,,35,21,3.5,g,3847595408241865,MC.SRH.120825.FLA,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),21,
Mint Longwood,175845429,2026-01-12T19:54:49.693,509946127,13804384,22289658,1,35,,35,21,3.5,g,3847595408241865,MC.SRH.120825.FLA,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),21,
Mint Longwood,175845429,2026-01-12T19:54:49.693,509946129,13805390,22299613,1,45,10.5,45,27,3.5,g,5516305618567392,MCP.TKG.111725.FLA,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),27,
Mint Longwood,175845429,2026-01-12T19:54:49.693,509946130,13805390,22299613,1,45,10.5,45,27,3.5,g,5516305618567392,MCP.TKG.111725.FLA,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),27,
Mint Longwood,175846095,2026-01-12T20:19:56.903,509946971,13804385,22300579,1,35,,35,17.5,3.5,g,1269459935854467,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Longwood,175846095,2026-01-12T20:19:56.903,509946972,13804385,22300579,1,35,,35,17.5,3.5,g,1269459935854467,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Longwood,175848612,2026-01-13T13:23:17.373,509957683,13803618,22266678,1,75,27.7,75,45,1.5,g,7017567565721487,MC.C.F.THC.102125.FLA,Cannabist FL,No,No,2nd Patient 60% Off (Orders $300 or LESS),45,
Mint Longwood,175848653,2026-01-13T08:30:38.433,509952662,13804383,22300567,1,120,52,120,72,14,g,2808086476967611,MC.SRH.120925.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),72,
Mint Longwood,175848696,2026-01-13T18:15:33.863,509966595,13804359,22293821,1,60,20.33,60,38,1,g,2953041914639672,MC.V.HKB.120825.FLA,Mint Cannabis,No,No,2 1G Vapes $44,38,
Mint Longwood,175848696,2026-01-13T18:15:33.863,509966596,13804359,22293821,1,60,20.33,60,38,1,g,2953041914639672,MC.V.HKB.120825.FLA,Mint Cannabis,No,No,2 1G Vapes $44,38,
Mint Longwood,175848715,2026-01-13T09:10:41.28,509952805,13804383,22300567,1,120,52,120,30,14,g,2808086476967611,MC.SRH.120925.FLA,Mint Cannabis,No,No,25% Off Bulk Flower,30,
Mint Longwood,175848809,2026-01-13T09:37:18.347,509953096,13799396,22188973,1,20,,20,12,0.1,g,2891876241606431,MCP.CD.RSO.DC.ET.091725.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),12,
Mint Longwood,175848809,2026-01-13T09:37:18.347,509953084,13804384,22289658,1,35,,35,21,3.5,g,3847595408241865,MC.SRH.120825.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),21,
Mint Longwood,175848809,2026-01-13T09:37:18.347,509953085,13804385,22300579,1,35,,35,21,3.5,g,1269459935854467,MC.ALB.120125.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),21,
Mint Longwood,175848898,2026-01-13T10:01:47.057,509953328,13801108,22251525,1,95,20,95,57,2,g,0052641447008179,WTF.AIO.D.AFS.101225.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),57,
Mint Longwood,175848898,2026-01-13T10:01:47.057,509953330,13801110,22256471,1,95,20,95,57,2,g,5093586773024703,WTF.AIO.D.BBR.101225.FLA2,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),57,
Mint Longwood,175849216,2026-01-13T10:58:39.857,509954286,13804358,22293786,1,65,,65,35.75,1,g,2176978274233744,MCP.CO.V.GVB.120425.FLA,Mint Cannabis,No,No,55% Off ALL Distillate Vapes,35.75,
Mint Longwood,175849260,2026-01-13T11:08:11.86,509954409,13804359,22293821,1,60,20.33,60,38,1,g,2953041914639672,MC.V.HKB.120825.FLA,Mint Cannabis,No,No,2 1G Vapes $44,38,
Mint Longwood,175849260,2026-01-13T11:08:11.86,509954410,13804359,22293821,1,60,20.33,60,38,1,g,2953041914639672,MC.V.HKB.120825.FLA,Mint Cannabis,No,No,2 1G Vapes $44,38,
Mint Longwood,175849572,2026-01-13T12:09:51.003,509955584,13804383,22300567,1,120,52,120,72,14,g,2808086476967611,MC.SRH.120925.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),72,
Mint Longwood,175849572,2026-01-13T12:09:51.003,509955721,13804385,22300579,1,35,,35,21,3.5,g,1269459935854467,MC.ALB.120125.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),21,
Mint Longwood,175849572,2026-01-13T12:09:51.003,509955728,13797953,22276145,1,45,17.31,45,27,1,g,1316587485622883,DL.SSD.082725.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),27,
Mint Longwood,175849676,2026-01-13T15:27:04.25,509961067,13801112,22256015,1,95,20,95,57,2,g,2895743493632108,WTF.AIO.D.GPI.101225.FLA2,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),57,
Mint Longwood,175849676,2026-01-13T15:27:04.25,509961068,13801112,22256015,1,95,20,95,57,2,g,2895743493632108,WTF.AIO.D.GPI.101225.FLA2,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),57,
