Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Melbourne,175840929,2026-01-13T11:39:33.707,509955102,13804859,22293933,1,20,,20,20,0.1,g,2170302578830772,MCP.CD.RSO.DC.BB.120225.FLA,Mint Cannabis,No,No,$16 Chocolates; 400 Loyalty Points FREE Product,4; 16,
Mint Melbourne,175845245,2026-01-12T19:40:20.893,509945028,13801115,22283575,1,95,20,95,52.25,2,g,0741874204306850,WTF.AIO.D.LCG.101225.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,52.25,
Mint Melbourne,175845397,2026-01-12T19:15:10.93,509944930,13804359,22293925,1,60,20.33,60,33,1,g,1300803167438611,MC.V.HKB.120825.FLA,Mint Cannabis,No,No,55% Off ALL Distillate Vapes,33,
Mint Melbourne,175845527,2026-01-12T19:27:22.9,509945305,13804354,22288697,1,45,11.25,45,9,1,g,7901692479248176,MP.BH.GDP.102325.FLA,Mint Cannabis,No,No,~Nocturnal Nugs 20% (NOT STACKABLE),9,
Mint Melbourne,175845781,2026-01-12T19:49:31.44,509945983,13804385,22301045,1,35,,35,14.7,3.5,g,3150909803350013,MC.ALB.120125.FLA,Mint Cannabis,No,No,42% Off Mint Cannabis 3.5G,14.7,
Mint Melbourne,175845819,2026-01-12T19:57:14.413,509946264,13803665,22305265,1,35,10.5,35,17.5,3.5,g,7052576914793289,MC.LH.110625.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Melbourne,175845819,2026-01-12T19:57:14.413,509946269,13804385,22301045,1,35,,35,17.5,3.5,g,3150909803350013,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Melbourne,175845819,2026-01-12T19:57:14.413,509946268,13804385,22301045,1,35,,35,17.5,3.5,g,3150909803350013,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Melbourne,175845819,2026-01-12T19:57:14.413,509946270,13799546,22288807,1,28,,28,9.8,0.1,g,4419211084684662,MCP.RSO.C.BLAB.112825.FLA,Mint Cannabis,No,No,35% Off Chews,9.8,
Mint Melbourne,175845819,2026-01-12T19:57:14.413,509946267,13804352,22307914,1,45,10.5,45,45,3.5,g,0741399038703052,MCP.LCM.112625,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Premium 3.5g",45,
Mint Melbourne,175845819,2026-01-12T19:57:14.413,509946266,13804352,22307914,1,45,10.5,45,0,3.5,g,0741399038703052,MCP.LCM.112625,Mint Cannabis,No,No,,,
Mint Melbourne,175845819,2026-01-12T19:57:14.413,509946265,13803665,22305265,1,35,10.5,35,17.5,3.5,g,7052576914793289,MC.LH.110625.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Melbourne,175845983,2026-01-12T20:08:29.697,509946654,13801115,22283575,1,95,20,95,52.25,2,g,0741874204306850,WTF.AIO.D.LCG.101225.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,52.25,
Mint Melbourne,175846223,2026-01-12T20:29:48.36,509947278,13798822,22285724,1,20,,20,4,0.1,g,6101609156621285,MCP.CD.RSO.DC.110625.FLA,Cannabist FL,No,No,$16 Chocolates,4,
Mint Melbourne,175846223,2026-01-12T20:29:48.36,509947276,13804385,22301045,1,35,,35,17.5,3.5,g,3150909803350013,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Melbourne,175846223,2026-01-12T20:29:48.36,509947274,13804385,22301045,1,35,,35,17.5,3.5,g,3150909803350013,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
