Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Mesa ,175841454,2026-01-12T19:08:19.603,509944707,13795336,22141019,1,35,13.13,35,15,1,g,2513886,250526892,DISTRIBUTION - GTL LLC,No,No,$20 Maple - AIO Distillate 1g EDLP,15,Maricopa County Tax:0.14; Mesa City Tax:0.4; Recreational Excise Tax:3.2; State of Arizona Tax:1.12
Mint Mesa ,175843420,2026-01-12T22:12:29.843,509938787,13805434,22305881,1,25,11,25,10,1,g,62376,LTHC.FLOK.121625,DISTRIBUTION - GTL LLC,No,No,40% Dr. Greenthumb Concentrates 1g EDLP,10,Maricopa County Tax:0.105; Mesa City Tax:0.3; State of Arizona Tax:0.84
Mint Mesa ,175843420,2026-01-12T22:12:29.843,509938789,13805439,22305432,1,25,11,25,10,1,g,62380,LTHC.HONB.121625,DISTRIBUTION - GTL LLC,No,No,40% Dr. Greenthumb Concentrates 1g EDLP,10,Maricopa County Tax:0.105; Mesa City Tax:0.3; State of Arizona Tax:0.84
Mint Mesa ,175843481,2026-01-12T22:13:38.337,509949315,11483934,22235138,1,12,5,12,9,0.1,g,100311299473,A011/DR0010/V100mg,DISTRIBUTION - GTL LLC,No,No,75% Off Nebula - All Products EP,9,Maricopa County Tax:0.021; Mesa City Tax:0.06; Recreational Excise Tax:0.48; State of Arizona Tax:0.168
Mint Mesa ,175843481,2026-01-12T22:13:38.337,509947947,13797397,22205169,1,20,4,20,10,1,g,2515852,BHOVVPOG041425,DISTRIBUTION - GTL LLC,No,No,$10 Treehouse - Concentrates 1g,10,Maricopa County Tax:0.07; Mesa City Tax:0.2; Recreational Excise Tax:1.6; State of Arizona Tax:0.56
Mint Mesa ,175843481,2026-01-12T22:13:38.337,509949312,13769419,22147266,1,12,6.4,12,9,0.1,g,23521284,A011/DR0010/JJ100mg,DISTRIBUTION - GTL LLC,No,No,75% Off Nebula - All Products EP,9,Maricopa County Tax:0.021; Mesa City Tax:0.06; Recreational Excise Tax:0.48; State of Arizona Tax:0.168
Mint Mesa ,175844757,2026-01-12T19:06:18.393,509944639,12306746,22294010,1,10,4,10,4,0.1,g,BR100BP-15,BR100BP-15,DISTRIBUTION - GTL LLC,No,No,"2 For $12 Baked Bros Brix 100mg MON,WED,FRI",4,Maricopa County Tax:0.042; Mesa City Tax:0.12; Recreational Excise Tax:0.96; State of Arizona Tax:0.336
Mint Mesa ,175844757,2026-01-12T19:06:18.393,509944640,12306749,22299214,1,10,4,10,4,0.1,g,BR100SW-20,BR100SW-20,DISTRIBUTION - GTL LLC,No,No,"2 For $12 Baked Bros Brix 100mg MON,WED,FRI",4,Maricopa County Tax:0.042; Mesa City Tax:0.12; Recreational Excise Tax:0.96; State of Arizona Tax:0.336
Mint Mesa ,175844895,2026-01-12T19:20:02.567,509945074,13783861,22305814,1,8,3.5,8,1,0.1,g,23522294,UASO1202,DISTRIBUTION - GTL LLC,No,No,2 for $14 Uncle Arnies 2oz EDLP,1,Maricopa County Tax:0.049; Mesa City Tax:0.14; Recreational Excise Tax:1.12; State of Arizona Tax:0.392
Mint Mesa ,175844895,2026-01-12T19:20:02.567,509945070,13805051,22305392,1,20,0.98,20,2,14,g,2622309,Gelato 33 x Lemon Cherry Gelato.H21.42.2025.,DISTRIBUTION - GTL LLC,No,No,Disability Discount 10%,2,Maricopa County Tax:0.126; Mesa City Tax:0.36; Recreational Excise Tax:2.88; State of Arizona Tax:1.008
Mint Mesa ,175844895,2026-01-12T19:20:02.567,509945075,13783861,22305814,1,8,3.5,8,1,0.1,g,23522294,UASO1202,DISTRIBUTION - GTL LLC,No,No,2 for $14 Uncle Arnies 2oz EDLP,1,Maricopa County Tax:0.049; Mesa City Tax:0.14; Recreational Excise Tax:1.12; State of Arizona Tax:0.392
Mint Mesa ,175845024,2026-01-12T20:44:43.713,509947718,12306746,22294010,1,10,4,10,0,0.1,g,BR100BP-15,BR100BP-15,DISTRIBUTION - GTL LLC,No,No,,,Maricopa County Tax:0.07; Mesa City Tax:0.2; Recreational Excise Tax:1.6; State of Arizona Tax:0.56
Mint Mesa ,175845024,2026-01-12T20:44:43.713,509947716,12306746,22294010,1,10,4,10,4,0.1,g,BR100BP-15,BR100BP-15,DISTRIBUTION - GTL LLC,No,No,"2 For $12 Baked Bros Brix 100mg MON,WED,FRI",4,Maricopa County Tax:0.042; Mesa City Tax:0.12; Recreational Excise Tax:0.96; State of Arizona Tax:0.336
Mint Mesa ,175845024,2026-01-12T20:44:43.713,509947711,12306745,22285891,1,10,4,10,4,0.1,g,br100br-17,BR100BR-17,DISTRIBUTION - GTL LLC,No,No,"2 For $12 Baked Bros Brix 100mg MON,WED,FRI",4,Maricopa County Tax:0.042; Mesa City Tax:0.12; Recreational Excise Tax:0.96; State of Arizona Tax:0.336
