Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Monroe,175846126,2026-01-12T20:28:29.993,509947067,13805578,22304161,1,5,2,5,2,0.2,g,1A4050300005C96001588714,1A4050300005C96001472217,Choice Lab,No,No,Choice/ MKX 200mg Gummies - 3 FOR $9,2,Michigan Cannabis Excise Tax:0.3; Michigan State Tax:0.198
Mint Monroe,175846126,2026-01-12T20:28:29.993,509947066,13790930,22304118,1,5,2,5,2,0.2,g,1A4050300005C96001576040,1A4050300005C96001472273,Choice Lab,No,No,Choice/ MKX 200mg Gummies - 3 FOR $9,2,Michigan Cannabis Excise Tax:0.3; Michigan State Tax:0.198
Mint Monroe,175846126,2026-01-12T20:28:29.993,509947237,13790930,22304118,1,5,2,5,2,0.2,g,1A4050300005C96001576040,1A4050300005C96001472273,Choice Lab,No,No,Choice/ MKX 200mg Gummies - 3 FOR $9,2,Michigan Cannabis Excise Tax:0.3; Michigan State Tax:0.198
Mint Monroe,175846126,2026-01-12T20:28:29.993,509947065,12723806,22282939,1,5,2,5,2,0.2,g,1A4050300005C96001556201,1A4050300005C96001556201,"Choice Labs, LLC",No,No,Choice/ MKX 200mg Gummies - 3 FOR $9,2,Michigan Cannabis Excise Tax:0.3; Michigan State Tax:0.198
Mint Monroe,175846126,2026-01-12T20:28:29.993,509947235,13790930,22304118,1,5,2,5,2,0.2,g,1A4050300005C96001576040,1A4050300005C96001472273,Choice Lab,No,No,Choice/ MKX 200mg Gummies - 3 FOR $9,2,Michigan Cannabis Excise Tax:0.3; Michigan State Tax:0.198
Mint Monroe,175846126,2026-01-12T20:28:29.993,509947064,12481368,22295083,1,5,2,5,2,0.2,g,1A4050300005C96001580977,1A4050300005C96001472376,Choice Lab,No,No,Choice/ MKX 200mg Gummies - 3 FOR $9,2,Michigan Cannabis Excise Tax:0.3; Michigan State Tax:0.198
Mint Monroe,175846245,2026-01-12T20:32:32.983,509947382,13787538,22304145,1,5,2,5,3.2755,0.2,g,1A4050300005C96001581897,1A4050300005C96001472215,Choice Lab,No,No,Choice/ MKX 200mg Gummies - 3 FOR $9; ,2; 1.2755,Michigan Cannabis Excise Tax:0.172; Michigan State Tax:0.1135
Mint Monroe,175846245,2026-01-12T20:32:32.983,509947377,13787538,22304145,1,5,2,5,3.2755,0.2,g,1A4050300005C96001581897,1A4050300005C96001472215,Choice Lab,No,No,Choice/ MKX 200mg Gummies - 3 FOR $9; ,2; 1.2755,Michigan Cannabis Excise Tax:0.172; Michigan State Tax:0.1135
Mint Monroe,175846245,2026-01-12T20:32:32.983,509947378,12103961,22295065,1,5,2,5,3.2755,0.2,g,1A4050300005C96001578052,1A4050300005C96001472278,Choice Lab,No,No,Choice/ MKX 200mg Gummies - 3 FOR $9; ,2; 1.2755,Michigan Cannabis Excise Tax:0.172; Michigan State Tax:0.1135
Mint Monroe,175846245,2026-01-12T20:32:32.983,509947375,13684956,22282927,1,5,2,5,3.2755,0.2,g,1A4050300005C96001576264,1A4050300005C96001576264,"Choice Labs, LLC",No,No,Choice/ MKX 200mg Gummies - 3 FOR $9; ,2; 1.2755,Michigan Cannabis Excise Tax:0.172; Michigan State Tax:0.1135
