Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint New Buffalo,175843787,2026-01-12T19:28:02.417,509945344,13804695,22289005,1,0.01,6,0.01,0,0.2,g,1A4050300044C65000001367,1A4050300005C96000845268,MC Distribution,No,No,,,Michigan Cannabis Excise Tax:0.001; Michigan State Tax:0.0007
Mint New Buffalo,175843787,2026-01-12T19:28:02.417,509945310,13801597,22289001,1,5.75,2.5,5.75,0,0.2,g,1A4050300009665000192908,1A4050300009665000188733,MC Distribution,No,No,,,Michigan Cannabis Excise Tax:0.575; Michigan State Tax:0.3795
Mint New Buffalo,175843787,2026-01-12T19:28:02.417,509940223,13801698,22238400,1,23,10,23,5.5,7,g,1A405030000526D000113039,1A405030002C881000042392,MC Distribution,No,No,MiSix 7g Prepacks - 2 FOR $35,5.5,Michigan Cannabis Excise Tax:1.75; Michigan State Tax:1.155
Mint New Buffalo,175843787,2026-01-12T19:28:02.417,509940224,13805161,22297262,1,23,10,23,5.5,7,g,1A405030002C881000043689,1A405030002C881000042709,Six Labs,No,No,MiSix 7g Prepacks - 2 FOR $35,5.5,Michigan Cannabis Excise Tax:1.75; Michigan State Tax:1.155
Mint New Buffalo,175843787,2026-01-12T19:28:02.417,509945309,13805273,22298107,1,5.75,1.5,5.75,0,0.2,g,1A405030003AE31000044877,1A405030003AE31000033575,KD Processing,No,No,,,Michigan Cannabis Excise Tax:0.575; Michigan State Tax:0.3795
Mint New Buffalo,175845484,2026-01-12T19:23:39.987,509945221,13791208,22282048,1,24,12.5,24,11.5,4,g,1A40503000548BD000010007,1A405030001F339000020092,MC Distribution,No,No,Chronicseur 4x1g Preroll Pack - ONLY $12.50,11.5,Michigan Cannabis Excise Tax:1.25; Michigan State Tax:0.825
Mint New Buffalo,175848694,2026-01-13T12:15:11.923,509955845,13684953,22289009,1,5,2,5,2,0.2,g,1A4050300005C96001557193,1A4050300005C96001472378,MC Distribution,No,No,Choice/ MKX 200mg Gummies - 3 FOR $9,2,Michigan Cannabis Excise Tax:0.3; Michigan State Tax:0.198
Mint New Buffalo,175848694,2026-01-13T12:15:11.923,509955565,13803389,22282051,1,79.00004,36.96,79.00004,17.78,28,g,1A40503000548BD000017472,1A4050300020405000001616,MC Distribution,No,No,GROUP - Employee - 22.5% OFF,17.78,Michigan Cannabis Excise Tax:6.122; Michigan State Tax:4.0405
Mint New Buffalo,175848694,2026-01-13T12:15:11.923,509955865,13775085,22014299,1,4,0.0001,4,3.99,1,g,1A4050300029A6A000169986,1A4050300029A6A000166958,MC Distribution,No,No,Spoil the Loyal - MANUAL FREE GIFT,3.99,Michigan Cannabis Excise Tax:0.001; Michigan State Tax:0.0007
Mint New Buffalo,175848694,2026-01-13T12:15:11.923,509955847,13684953,22289009,1,5,2,5,2,0.2,g,1A4050300005C96001557193,1A4050300005C96001472378,MC Distribution,No,No,Choice/ MKX 200mg Gummies - 3 FOR $9,2,Michigan Cannabis Excise Tax:0.3; Michigan State Tax:0.198
Mint New Buffalo,175848694,2026-01-13T12:15:11.923,509955846,13684953,22289009,1,5,2,5,2,0.2,g,1A4050300005C96001557193,1A4050300005C96001472378,MC Distribution,No,No,Choice/ MKX 200mg Gummies - 3 FOR $9,2,Michigan Cannabis Excise Tax:0.3; Michigan State Tax:0.198
Mint New Buffalo,175848694,2026-01-13T12:15:11.923,509955844,13787538,22305302,1,5,2.48,5,2,0.2,g,1A4050300005C96001581896,1A4050300005C96001472215,Glorious Cannabis Co.,No,No,Choice/ MKX 200mg Gummies - 3 FOR $9,2,Michigan Cannabis Excise Tax:0.3; Michigan State Tax:0.198
Mint New Buffalo,175848694,2026-01-13T12:15:11.923,509955843,13787538,22305302,1,5,2.48,5,2,0.2,g,1A4050300005C96001581896,1A4050300005C96001472215,Glorious Cannabis Co.,No,No,Choice/ MKX 200mg Gummies - 3 FOR $9,2,Michigan Cannabis Excise Tax:0.3; Michigan State Tax:0.198
Mint New Buffalo,175848694,2026-01-13T12:15:11.923,509955842,13787538,22305302,1,5,2.48,5,2,0.2,g,1A4050300005C96001581896,1A4050300005C96001472215,Glorious Cannabis Co.,No,No,Choice/ MKX 200mg Gummies - 3 FOR $9,2,Michigan Cannabis Excise Tax:0.3; Michigan State Tax:0.198
Mint New Buffalo,175848694,2026-01-13T12:15:11.923,509955841,13787538,22305302,1,5,2.48,5,2,0.2,g,1A4050300005C96001581896,1A4050300005C96001472215,Glorious Cannabis Co.,No,No,Choice/ MKX 200mg Gummies - 3 FOR $9,2,Michigan Cannabis Excise Tax:0.3; Michigan State Tax:0.198
Mint New Buffalo,175848694,2026-01-13T12:15:11.923,509955840,13787538,22305302,1,5,2.48,5,2,0.2,g,1A4050300005C96001581896,1A4050300005C96001472215,Glorious Cannabis Co.,No,No,Choice/ MKX 200mg Gummies - 3 FOR $9,2,Michigan Cannabis Excise Tax:0.3; Michigan State Tax:0.198
