Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Northern Phoenix,175840823,2026-01-12T19:01:24.1,509944455,13805363,22303972,1,5,0.04,5,5,0.7,g,2622243,20250611CO,DISTRIBUTION - GTL LLC,No,No,* Happy Hour Pre-roll Northern & 75th & Buckeye,5,Excise 16%:0; Phoenix sales tax:0
Mint Northern Phoenix,175840823,2026-01-12T19:01:24.1,509944450,13805256,22302500,1,54,15.75,54,24.3,2,g,MFG-092525-189,ST-ORG-WRB-K2525,DISTRIBUTION - GTL LLC,No,No,45% Off Stiiizy - Vapes EDLP,24.3,Excise 16%:4.752; Phoenix sales tax:2.7027
Mint Northern Phoenix,175842843,2026-01-12T20:07:18.88,509946629,13795945,22302467,1,12,1.54,12,0,3.5,g,2622166,Biker Breath OG.B21B22B.44.2025.,DISTRIBUTION - GTL LLC,No,No,,,Excise 16%:1.92; Phoenix sales tax:1.092
Mint Northern Phoenix,175842843,2026-01-12T20:07:18.88,509946630,13805556,22306023,1,5,0.4,5,5,0.7,g,2622286,PHX1198-GWHZ,DISTRIBUTION - GTL LLC,No,No,* Happy Hour Pre-roll Northern & 75th & Buckeye,5,Excise 16%:0; Phoenix sales tax:0
Mint Northern Phoenix,175843724,2026-01-12T19:26:53.95,509945304,13805363,22303972,1,5,0.04,5,5,0.7,g,2622243,20250611CO,DISTRIBUTION - GTL LLC,No,No,* Happy Hour Pre-roll Northern & 75th & Buckeye,5,Excise 16%:0; Phoenix sales tax:0
Mint Northern Phoenix,175843724,2026-01-12T19:26:53.95,509945306,13795726,22295153,1,12,12,12,12,3.5,g,2521778,Durban.B15B16A.45.2025.,DISTRIBUTION - GTL LLC,No,No,* FREE WEED EVERYDAY Bronze JAN 26,12,Excise 16%:0; Phoenix sales tax:0
Mint Northern Phoenix,175843724,2026-01-12T19:26:53.95,509945293,13805253,22302493,1,54,15.75,54,24.3,2,g,MFG-110425-789,ST-ORG-PAC-N0425,DISTRIBUTION - GTL LLC,No,No,45% Off Stiiizy - Vapes EDLP,24.3,Excise 16%:4.752; Phoenix sales tax:2.7027
Mint Northern Phoenix,175843724,2026-01-12T19:26:53.95,509945290,13805253,22302493,1,54,15.75,54,24.3,2,g,MFG-110425-789,ST-ORG-PAC-N0425,DISTRIBUTION - GTL LLC,No,No,45% Off Stiiizy - Vapes EDLP,24.3,Excise 16%:4.752; Phoenix sales tax:2.7027
Mint Northern Phoenix,175843724,2026-01-12T19:26:53.95,509945286,13804750,22295173,1,20,7.5,20,0,1,g,107949,V-1204-APLSC-BLKPP,DISTRIBUTION - GTL LLC,No,No,,,Excise 16%:3.2; Phoenix sales tax:1.82
Mint Northern Phoenix,175844215,2026-01-12T21:02:25.98,509948206,11711705,22283189,1,20,7.5,20,7.5,1,g,2519830,2510171086,DISTRIBUTION - GTL LLC,No,No,2 for $25 WTF Distillate Syringe 1g,7.5,Phoenix sales tax:1.1375
