Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Orlando ,175845337,2026-01-12T19:12:06.063,509944825,13804359,22293773,1,60,20.33,60,60,1,g,2204968384686346,MC.V.HKB.120825.FLA,Cannabist FL,No,No,400 Loyalty Points FREE Product - 1G distillate 510 Vape,60,
Mint Orlando ,175845363,2026-01-12T19:13:35.073,509944864,13803823,22271464,1,10,7.34,10,2.5,1,g,1191698518701636,MC.PR.GDP.102925.FLA,Mint Cannabis,No,No,25% OFF Compassionate Care,2.5,
Mint Orlando ,175845677,2026-01-12T19:47:32.037,509945872,13799395,22193622,1,20,,20,12,0.1,g,6850381509876140,MCP.CD.RSO.DC.CO.091525.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),12,
Mint Orlando ,175845677,2026-01-12T19:47:32.037,509945875,13799546,22288421,1,28,,28,16.8,0.1,g,6227279320806882,MCP.RSO.C.BLAB.112825.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),16.8,
Mint Orlando ,175845677,2026-01-12T19:47:32.037,509945749,13804383,22300555,1,120,52,120,72,14,g,1939917672398598,MC.SRH.120925.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),72,
Mint Orlando ,175845677,2026-01-12T19:47:32.037,509945750,13804383,22300555,1,120,52,120,72,14,g,1939917672398598,MC.SRH.120925.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),72,
Mint Orlando ,175845905,2026-01-12T20:22:30.37,509946432,13804384,22288442,1,35,,35,14.7,3.5,g,1916228371683497,MC.SRH.120825.FLA,Mint Cannabis,No,No,42% Off Mint Cannabis 3.5G,14.7,
Mint Orlando ,175846030,2026-01-12T20:20:06.613,509946828,13804359,22293773,1,60,20.33,60,60,1,g,2204968384686346,MC.V.HKB.120825.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes; Product Sample Program (1 item per week),33; 27,
Mint Orlando ,175846055,2026-01-12T20:16:45.557,509946891,13804383,22300555,1,120,52,120,72,14,g,1939917672398598,MC.SRH.120925.FLA,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),72,
Mint Orlando ,175848813,2026-01-13T09:34:13.847,509953081,13804384,22288442,1,35,,35,15,3.5,g,1916228371683497,MC.SRH.120825.FLA,Mint Cannabis,No,No,$20  Mint Cannabis 3.5G,15,
Mint Orlando ,175848813,2026-01-13T09:34:13.847,509953079,13804359,22293773,1,60,20.33,60,33,1,g,2204968384686346,MC.V.HKB.120825.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,33,
Mint Orlando ,175848818,2026-01-13T09:37:58.603,509953108,13804385,22300560,1,35,,35,21,3.5,g,4301085157216795,MC.ALB.120125.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),21,
Mint Orlando ,175849430,2026-01-13T11:37:04.537,509955025,13801108,22255201,1,95,20,95,57,2,g,1013600971963827,WTF.AIO.D.AFS.101225.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),57,
Mint Orlando ,175849645,2026-01-13T12:20:51.297,509955956,13801490,22247262,1,15,5.07,15,15,,g,00422,00422,Cannabist FL,No,No,44% Off  Retired Hero's; 600 Loyalty Points FREE Product,6.6; 8.4,
Mint Orlando ,175849645,2026-01-13T12:20:51.297,509955834,13801114,22252119,1,95,20,95,52.25,2,g,6460956912229863,WTF.AIO.D.JFOG.101225.FLA2,Cannabist FL,No,No,55% Off ALL Distillate Vapes,52.25,
Mint Orlando ,175849645,2026-01-13T12:20:51.297,509955805,13801116,22255190,1,95,20,95,52.25,2,g,3104316926550042,WTF.AIO.D.OCR.101225.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,52.25,
Mint Orlando ,175849645,2026-01-13T12:20:51.297,509955806,13801108,22255201,1,95,20,95,52.25,2,g,1013600971963827,WTF.AIO.D.AFS.101225.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,52.25,
Mint Orlando ,175849645,2026-01-13T12:20:51.297,509955813,13801110,22256462,1,95,20,95,52.25,2,g,3651199345736293,WTF.AIO.D.BBR.101225.FLA2,Cannabist FL,No,No,55% Off ALL Distillate Vapes,52.25,
Mint Orlando ,175849645,2026-01-13T12:20:51.297,509955820,13801119,22256467,1,95,20,95,52.25,2,g,4218062355908775,WTF.AIO.D.RAS.101225.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,52.25,
Mint Orlando ,175849645,2026-01-13T12:20:51.297,509955890,13804383,22300555,1,120,52,120,52.8,14,g,1939917672398598,MC.SRH.120925.FLA,Mint Cannabis,No,No,44% Off  Retired Hero's,52.8,
Mint Orlando ,175849967,2026-01-13T13:44:29.66,509956872,13801116,22255190,1,95,20,95,52.25,2,g,3104316926550042,WTF.AIO.D.OCR.101225.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,52.25,
Mint Orlando ,175850039,2026-01-13T14:24:09.403,509957104,13801714,22262798,1,5,0.32,5,5,,g,00239,00239,Cannabist FL,No,No,100 Loyalty Points FREE Product,5,
Mint Orlando ,175850039,2026-01-13T14:24:09.403,509957093,13804042,22279406,1,45,13.91,45,45,1,g,5291906525936949,MC.CR.STZ.102225.FLA,Mint Cannabis,No,No,"$29 Shatter, Crumble & Dablicators/Syringes; Product Sample Program (1 item per week)",16; 29,
Mint Orlando ,175850195,2026-01-13T13:38:38.3,509957675,13778839,22251365,1,75,10,75,41.25,1,g,1571586167860460,WTF.AIO.D.PEX.101225.FLA1,Cannabist FL,No,No,55% Off ALL Distillate Vapes,41.25,
Mint Orlando ,175850195,2026-01-13T13:38:38.3,509957678,13798822,22264965,1,20,,20,11.94,0.1,g,0836860989435328,MCP.CD.RSO.DC.110625.FLA,Cannabist FL,No,No,2 - RSO Chocolates $29; 400 Loyalty Points FREE Product,5.5; 6.44,
Mint Orlando ,175850195,2026-01-13T13:38:38.3,509958086,13803823,22271464,1,10,7.34,10,10,1,g,1191698518701636,MC.PR.GDP.102925.FLA,Mint Cannabis,No,No,200 Loyalty Points FREE Product,10,
Mint Orlando ,175850195,2026-01-13T13:38:38.3,509957680,13800512,22293777,1,20,5.61,20,11.95,0.1,g,8146920977779719,MCP.CD.RSO.DC.MSC.120325.FLA,Cannabist FL,No,No,2 - RSO Chocolates $29; 400 Loyalty Points FREE Product,5.5; 6.45,
Mint Orlando ,175850195,2026-01-13T13:38:38.3,509957681,13800512,22293777,1,20,5.61,20,11.11,0.1,g,8146920977779719,MCP.CD.RSO.DC.MSC.120325.FLA,Cannabist FL,No,No,$16 Chocolates; 400 Loyalty Points FREE Product,4; 7.11,
Mint Orlando ,175850429,2026-01-13T15:32:50.473,509958596,13804385,22300560,1,35,,35,21,3.5,g,4301085157216795,MC.ALB.120125.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),21,
Mint Orlando ,175850429,2026-01-13T15:32:50.473,509958597,13804385,22300560,1,35,,35,21,3.5,g,4301085157216795,MC.ALB.120125.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),21,
Mint Orlando ,175850429,2026-01-13T15:32:50.473,509958598,13804385,22300560,1,35,,35,21,3.5,g,4301085157216795,MC.ALB.120125.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),21,
Mint Orlando ,175850429,2026-01-13T15:32:50.473,509958599,13804385,22300560,1,35,,35,21,3.5,g,4301085157216795,MC.ALB.120125.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),21,
Mint Orlando ,175850429,2026-01-13T15:32:50.473,509958601,13804385,22300560,1,35,,35,21,3.5,g,4301085157216795,MC.ALB.120125.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),21,
Mint Orlando ,175850429,2026-01-13T15:32:50.473,509958611,13804385,22300560,1,35,,35,21,3.5,g,4301085157216795,MC.ALB.120125.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),21,
Mint Orlando ,175850429,2026-01-13T15:32:50.473,509958612,13804385,22300560,1,35,,35,21,3.5,g,4301085157216795,MC.ALB.120125.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),21,
Mint Orlando ,175850429,2026-01-13T15:32:50.473,509958614,13804385,22300560,1,35,,35,21,3.5,g,4301085157216795,MC.ALB.120125.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),21,
Mint Orlando ,175850786,2026-01-13T14:27:40.3,509959361,13801714,22262798,1,5,0.32,5,5,,g,00239,00239,Cannabist FL,No,No,100 Loyalty Points FREE Product,5,
Mint Orlando ,175850786,2026-01-13T14:27:40.3,509959378,13804241,22279412,1,28,,28,28,0.1,g,0358428268093972,MCP.RSO.C.CHER.120425.FLA,Mint Cannabis,No,No,Product Sample Program (1 item per week),28,
Mint Orlando ,175850914,2026-01-13T14:40:18.567,509959715,13804385,22300560,1,35,,35,21,3.5,g,4301085157216795,MC.ALB.120125.FLA,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),21,
Mint Orlando ,175850914,2026-01-13T14:40:18.567,509959747,13804352,22288433,1,45,10.5,45,27,3.5,g,7617407986150672,MCP.LCM.112625,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),27,
Mint Orlando ,175850914,2026-01-13T14:40:18.567,509959777,13803665,22271521,1,35,10.5,35,21,3.5,g,8643865392059584,MC.LH.110625.FLA,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),21,
Mint Orlando ,175850957,2026-01-13T15:07:08.24,509960237,13804385,22300560,1,35,,35,21,3.5,g,4301085157216795,MC.ALB.120125.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),21,
Mint Orlando ,175850957,2026-01-13T15:07:08.24,509960238,13805390,22271493,1,45,10.5,45,27,3.5,g,5117644588621709,MCP.TKG.111725.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),27,
Mint Orlando ,175850957,2026-01-13T15:07:08.24,509960405,13804383,22300555,1,120,52,120,72,14,g,1939917672398598,MC.SRH.120925.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),72,
Mint Orlando ,175850957,2026-01-13T15:07:08.24,509960407,13804363,22300561,1,35,10.5,35,21,3.5,g,6639461514069165,MC.MEL.121125.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),21,
Mint Orlando ,175850986,2026-01-13T16:48:16.453,509960190,13801892,22236073,1,45,,45,20,3.5,g,3484980221535361,MCP.ALP.090825.FLA,Cannabist FL,No,No,$25 Mint Premium 3.5G,20,
Mint Orlando ,175850986,2026-01-13T16:48:16.453,509960191,13804359,22293773,1,60,20.33,60,38,1,g,2204968384686346,MC.V.HKB.120825.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint Orlando ,175850986,2026-01-13T16:48:16.453,509960192,13804359,22293773,1,60,20.33,60,38,1,g,2204968384686346,MC.V.HKB.120825.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint Orlando ,175851009,2026-01-13T14:52:28.703,509960011,13801892,22236073,1,45,,45,27,3.5,g,3484980221535361,MCP.ALP.090825.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),27,
Mint Orlando ,175851009,2026-01-13T14:52:28.703,509960012,13804385,22300560,1,35,,35,21,3.5,g,4301085157216795,MC.ALB.120125.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),21,
Mint Orlando ,175851009,2026-01-13T14:52:28.703,509960013,13804383,22300555,1,120,52,120,72,14,g,1939917672398598,MC.SRH.120925.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),72,
Mint Orlando ,175851009,2026-01-13T14:52:28.703,509960052,13801114,22252119,1,95,20,95,57,2,g,6460956912229863,WTF.AIO.D.JFOG.101225.FLA2,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),57,
Mint Orlando ,175851269,2026-01-13T15:18:41.903,509960779,13803823,22271464,1,10,7.34,10,6,1,g,1191698518701636,MC.PR.GDP.102925.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),6,
Mint Orlando ,175851269,2026-01-13T15:18:41.903,509960780,13803823,22271464,1,10,7.34,10,6,1,g,1191698518701636,MC.PR.GDP.102925.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),6,
Mint Orlando ,175851422,2026-01-13T15:40:20.793,509961399,13804383,22300555,1,120,52,120,60,14,g,1939917672398598,MC.SRH.120925.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,60,
Mint Orlando ,175851422,2026-01-13T15:40:20.793,509961402,13804383,22300555,1,120,52,120,60,14,g,1939917672398598,MC.SRH.120925.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,60,
Mint Orlando ,175851422,2026-01-13T15:40:20.793,509961443,13804359,22293773,1,60,20.33,60,60,1,g,2204968384686346,MC.V.HKB.120825.FLA,Cannabist FL,No,No,400 Loyalty Points FREE Product - 1G distillate 510 Vape,60,
Mint Orlando ,175851422,2026-01-13T15:40:20.793,509961444,13804385,22300560,1,35,,35,17.5,3.5,g,4301085157216795,MC.ALB.120125.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,17.5,
Mint Orlando ,175851422,2026-01-13T15:40:20.793,509961445,13804385,22300560,1,35,,35,17.5,3.5,g,4301085157216795,MC.ALB.120125.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,17.5,
Mint Orlando ,175851422,2026-01-13T15:40:20.793,509961446,13804385,22300560,1,35,,35,17.5,3.5,g,4301085157216795,MC.ALB.120125.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,17.5,
Mint Orlando ,175851422,2026-01-13T15:40:20.793,509961447,13804385,22300560,1,35,,35,17.5,3.5,g,4301085157216795,MC.ALB.120125.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,17.5,
