Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Portage,175844282,2026-01-12T19:50:42.513,509941588,13672414,22287531,1,46.75,27,46.75,46.74,1,g,1A4050300044C03000037624,1A4050300044C03000037624,Wojo LLC,No,No,Customer Satisfaction (Manager Required); ,45; 1.74,Michigan Cannabis Excise Tax:0.001; Michigan State Tax:0.0007
Mint Portage,175845199,2026-01-12T19:02:00.367,509944462,13726540,22292115,1,8.1,7,8.1,2.8589,1,g,1A4050300029A6A000254458,1A4050300029A6A000254458,Common Citizen,No,No,Common Citizen/ Afternoon Delite  1g Concentrates - 3 FOR $19; Customer Satisfaction (Manager Required); ,1.77; 1; 0.0889,Michigan Cannabis Excise Tax:0.524; Michigan State Tax:0.3458
Mint Portage,175845199,2026-01-12T19:02:00.367,509944465,13804862,22292117,1,8.1,7,8.1,1.8657,1,g,1A4050300029A6A000255268,1A4050300029A6A000255268,Common Citizen,No,No,Common Citizen/ Afternoon Delite  1g Concentrates - 3 FOR $19; ,1.76; 0.1057,Michigan Cannabis Excise Tax:0.623; Michigan State Tax:0.4112
Mint Portage,175845199,2026-01-12T19:02:00.367,509944463,13726540,22292115,1,8.1,7,8.1,1.8755,1,g,1A4050300029A6A000254458,1A4050300029A6A000254458,Common Citizen,No,No,Common Citizen/ Afternoon Delite  1g Concentrates - 3 FOR $19; ,1.77; 0.1055,Michigan Cannabis Excise Tax:0.622; Michigan State Tax:0.4105
Mint Portage,175845206,2026-01-12T19:01:49.57,509944444,13735495,22305268,7.11,3.51617581,1.48678,25.0000100091,3.63,,g,1A4050300029A6A000259713,1A4050300029A6A000259713,Common Citizen,No,No,TAX FREE DELI FLOWER,3.63,Michigan Cannabis Excise Tax:2.137; Michigan State Tax:1.4104
Mint Portage,175845256,2026-01-12T19:06:53.957,509944648,13802725,22295892,1,0.01,0.01,0.01,0.0022,1,g,1A4050300013242000045958,1A4050300013242000045209,MC Distro,No,No,,0.0022,Michigan Cannabis Excise Tax:0.001; Michigan State Tax:0.0007
Mint Portage,175845256,2026-01-12T19:06:53.957,509944651,13802725,22295892,1,0.01,0.01,0.01,0.0022,1,g,1A4050300013242000045958,1A4050300013242000045209,MC Distro,No,No,,0.0022,Michigan Cannabis Excise Tax:0.001; Michigan State Tax:0.0007
Mint Portage,175845256,2026-01-12T19:06:53.957,509944655,13802725,22295892,1,0.01,0.01,0.01,0.0022,1,g,1A4050300013242000045958,1A4050300013242000045209,MC Distro,No,No,,0.0022,Michigan Cannabis Excise Tax:0.001; Michigan State Tax:0.0007
Mint Portage,175845256,2026-01-12T19:06:53.957,509944647,13695187,22289957,1,6.9,3,6.9,2.8435,0.2,g,1A405030005139D000055206,1A405030005139D000055206,Element Enterprises LLC,No,No,First Time Customer - 25% OFF; ,1.72; 1.1235,Michigan Cannabis Excise Tax:0.406; Michigan State Tax:0.268
Mint Portage,175845262,2026-01-12T19:05:03.94,509944606,13695809,22247870,1,6,2.75,6,2,1,g,1A4050300005C96001421574,1A4050300005C96001421574,"Choice Labs, LLC",No,No,Simpler Daze Fire Styxx Infused Prerolls - 4 FOR $16,2,Michigan Cannabis Excise Tax:0.4; Michigan State Tax:0.264
Mint Portage,175845262,2026-01-12T19:05:03.94,509944605,13691652,22279509,1,6,2.75,6,2,1,g,1A4050300005C96001472572,1A4050300005C96001472572,Choice Lab,No,No,Simpler Daze Fire Styxx Infused Prerolls - 4 FOR $16,2,Michigan Cannabis Excise Tax:0.4; Michigan State Tax:0.264
Mint Portage,175845262,2026-01-12T19:05:03.94,509944604,13153302,22295779,1,6,2.75,6,2,1,g,1A40503000548BD000018344,1A4050300005C96001403284,MC Distro,No,No,Simpler Daze Fire Styxx Infused Prerolls - 4 FOR $16,2,Michigan Cannabis Excise Tax:0.4; Michigan State Tax:0.264
Mint Portage,175845262,2026-01-12T19:05:03.94,509944602,12870702,22295893,1,6,2.75,6,2,1,g,1A40503000548BD000015254,1A4050300005C96001403447,MC Distro,No,No,Simpler Daze Fire Styxx Infused Prerolls - 4 FOR $16,2,Michigan Cannabis Excise Tax:0.4; Michigan State Tax:0.264
Mint Portage,175845292,2026-01-12T19:08:55.11,509944718,13794757,22295887,1,3,1.25,3,0.86,1,g,1A4050300039EF6000020725,1A4050300039EF6000015763,MC Distro,No,No,Infused Prerolls - 7 FOR $15,0.86,Michigan Cannabis Excise Tax:0.214; Michigan State Tax:0.1412
Mint Portage,175845292,2026-01-12T19:08:55.11,509944722,13794757,22295887,1,3,1.25,3,0.86,1,g,1A4050300039EF6000020725,1A4050300039EF6000015763,MC Distro,No,No,Infused Prerolls - 7 FOR $15,0.86,Michigan Cannabis Excise Tax:0.214; Michigan State Tax:0.1412
Mint Portage,175845292,2026-01-12T19:08:55.11,509944723,13794753,22295885,1,3,1.25,3,0.86,1,g,1A4050300039EF6000020759,1A4050300039EF6000017418,MC Distro,No,No,Infused Prerolls - 7 FOR $15,0.86,Michigan Cannabis Excise Tax:0.214; Michigan State Tax:0.1412
Mint Portage,175845292,2026-01-12T19:08:55.11,509944724,13794753,22295885,1,3,1.25,3,0.86,1,g,1A4050300039EF6000020759,1A4050300039EF6000017418,MC Distro,No,No,Infused Prerolls - 7 FOR $15,0.86,Michigan Cannabis Excise Tax:0.214; Michigan State Tax:0.1412
Mint Portage,175845292,2026-01-12T19:08:55.11,509944715,13797284,22301056,1,3,1,3,0.84,1,g,1A4050300039EF6000020740,1A4050300039EF6000017406,MC Distro,No,No,Infused Prerolls - 7 FOR $15,0.84,Michigan Cannabis Excise Tax:0.216; Michigan State Tax:0.1426
Mint Portage,175845292,2026-01-12T19:08:55.11,509944717,13794752,22295886,1,3,1.25,3,0.86,1,g,1A4050300039EF6000020767,1A4050300039EF6000020032,MC Distro,No,No,Infused Prerolls - 7 FOR $15,0.86,Michigan Cannabis Excise Tax:0.214; Michigan State Tax:0.1412
Mint Portage,175845292,2026-01-12T19:08:55.11,509944720,13794752,22295886,1,3,1.25,3,0.86,1,g,1A4050300039EF6000020767,1A4050300039EF6000020032,MC Distro,No,No,Infused Prerolls - 7 FOR $15,0.86,Michigan Cannabis Excise Tax:0.214; Michigan State Tax:0.1412
Mint Portage,175845314,2026-01-12T19:19:18.373,509945020,13775060,22284120,1,5.75,2.91,5.75,2.8675,0.03,g,1A40503000373FD000153617,1A40503000373FD000153617,VBJG Mt. Clemens LLC,No,No,Emarald Canning Brands - 40% OFF; ,2.3; 0.5675,Michigan Cannabis Excise Tax:0.288; Michigan State Tax:0.1901
Mint Portage,175845314,2026-01-12T19:19:18.373,509944896,13771885,22307389,1,34.5,15.635,34.5,5.6749,0.5,g,1A40503000554D9000001350,1A40503000554D9000001126,MC Distro,No,No,,5.6749,Michigan Cannabis Excise Tax:2.883; Michigan State Tax:1.9028
Mint Portage,175845314,2026-01-12T19:19:18.373,509945065,13775060,22284120,1,5.75,2.91,5.75,2.8675,0.03,g,1A40503000373FD000153617,1A40503000373FD000153617,VBJG Mt. Clemens LLC,No,No,Emarald Canning Brands - 40% OFF; ,2.3; 0.5675,Michigan Cannabis Excise Tax:0.288; Michigan State Tax:0.1901
Mint Portage,175845388,2026-01-12T19:16:06.54,509944962,13781609,22295815,1,20.75,9,20.75,0,2,g,1a40503000548bd000015650,1A405030005ABF5000009102,MC Distro,No,No,,,Michigan Cannabis Excise Tax:2.075; Michigan State Tax:1.3695
Mint Portage,175845432,2026-01-12T19:18:23.93,509945042,13802504,22299477,1,15,6.5,15,0,10,g,1A40503000548BD000017110,1A4050300039EF6000018732,MC Distro,No,No,,,Michigan Cannabis Excise Tax:1.5; Michigan State Tax:0.99
Mint Portage,175845452,2026-01-12T19:19:00.47,509945064,13802503,22299476,1,15,6.5,15,0,10,g,1A40503000548BD000017100,1A4050300039EF6000018442,MC Distro,No,No,,,Michigan Cannabis Excise Tax:1.5; Michigan State Tax:0.99
Mint Portage,175845464,2026-01-12T19:20:41.857,509945121,13695809,22247870,1,6,2.75,6,2,1,g,1A4050300005C96001421574,1A4050300005C96001421574,"Choice Labs, LLC",No,No,Simpler Daze Fire Styxx Infused Prerolls - 4 FOR $16,2,Michigan Cannabis Excise Tax:0.4; Michigan State Tax:0.264
Mint Portage,175845464,2026-01-12T19:20:41.857,509945117,13791657,22303818,1,6,3.1,6,2,1,g,1A4050300005C96001572406,1A4050300005C96001572406,Glorious Cannabis Co.,No,No,Simpler Daze Fire Styxx Infused Prerolls - 4 FOR $16,2,Michigan Cannabis Excise Tax:0.4; Michigan State Tax:0.264
Mint Portage,175845464,2026-01-12T19:20:41.857,509945118,12870695,22295785,1,6,2.75,6,2,1,g,1A40503000548BD000018340,1A4050300005C96001403103,MC Distro,No,No,Simpler Daze Fire Styxx Infused Prerolls - 4 FOR $16,2,Michigan Cannabis Excise Tax:0.4; Michigan State Tax:0.264
Mint Portage,175845464,2026-01-12T19:20:41.857,509945120,13153302,22295779,1,6,2.75,6,2,1,g,1A40503000548BD000018344,1A4050300005C96001403284,MC Distro,No,No,Simpler Daze Fire Styxx Infused Prerolls - 4 FOR $16,2,Michigan Cannabis Excise Tax:0.4; Michigan State Tax:0.264
Mint Portage,175845517,2026-01-12T19:26:56.21,509945312,13802504,22299477,1,15,6.5,15,0,10,g,1A40503000548BD000017110,1A4050300039EF6000018732,MC Distro,No,No,,,Michigan Cannabis Excise Tax:1.5; Michigan State Tax:0.99
Mint Portage,175845553,2026-01-12T19:36:50.45,509945548,13798452,22219914,1,0.01,0.5,0.01,0,1,g,1A405030003BB7A000025934,1A4050300023C45000113600,MC Distribution,No,No,,,Michigan Cannabis Excise Tax:0.001; Michigan State Tax:0.0007
Mint Portage,175845553,2026-01-12T19:36:50.45,509945545,13798452,22219914,1,0.01,0.5,0.01,0,1,g,1A405030003BB7A000025934,1A4050300023C45000113600,MC Distribution,No,No,,,Michigan Cannabis Excise Tax:0.001; Michigan State Tax:0.0007
Mint Portage,175845553,2026-01-12T19:36:50.45,509945534,13804498,22297858,1,34.5,15,34.5,9.5,2,g,1A4050300023F01000043279,1A4050300023F01000043279,Society C,No,No,Society C 2g Live Resin Disposable - 2 FOR $50,9.5,Michigan Cannabis Excise Tax:2.5; Michigan State Tax:1.65
Mint Portage,175845553,2026-01-12T19:36:50.45,509945552,13802725,22295892,1,0.01,0.01,0.01,0,1,g,1A4050300013242000045958,1A4050300013242000045209,MC Distro,No,No,,,Michigan Cannabis Excise Tax:0.001; Michigan State Tax:0.0007
Mint Portage,175845553,2026-01-12T19:36:50.45,509945532,13781610,22282271,1,20.75,9,20.75,0,2,g,1A405030005ABF5000002599,1A405030005ABF5000009103,MC Distro,No,No,,,Michigan Cannabis Excise Tax:2.075; Michigan State Tax:1.3695
Mint Portage,175845553,2026-01-12T19:36:50.45,509945531,13781612,22282270,1,20.75,9,20.75,0,2,g,1A405030005ABF5000008556,1A405030005ABF5000017953,MC Distro,No,No,,,Michigan Cannabis Excise Tax:2.075; Michigan State Tax:1.3695
Mint Portage,175845553,2026-01-12T19:36:50.45,509945530,13781605,22282340,1,20.75,9,20.75,0,2,g,1A405030005ABF5000007785,1A405030005ABF5000017946,MC Distro,No,No,,,Michigan Cannabis Excise Tax:2.075; Michigan State Tax:1.3695
Mint Portage,175845553,2026-01-12T19:36:50.45,509945533,13781610,22282271,1,20.75,9,20.75,0,2,g,1A405030005ABF5000002599,1A405030005ABF5000009103,MC Distro,No,No,,,Michigan Cannabis Excise Tax:2.075; Michigan State Tax:1.3695
