Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Sarasota,175845201,2026-01-12T19:00:19.127,509944388,13802534,22250648,1,35,,35,17.5,3.5,g,2753437394504415,MC.MBXWC.102825.FLA,Cannabist FL,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Sarasota,175845201,2026-01-12T19:00:19.127,509944349,13801114,22255571,1,95,20,95,52.25,2,g,3500999306788527,WTF.AIO.D.JFOG.101225.FLA2,Cannabist FL,No,No,55% Off ALL Distillate Vapes,52.25,
Mint Sarasota,175845201,2026-01-12T19:00:19.127,509944390,13804384,22291234,1,35,,35,17.5,3.5,g,4223628091892214,MC.SRH.120825.FLA,Cannabist FL,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Sarasota,175845365,2026-01-12T19:21:29.8,509945006,13803823,22273556,1,10,7.34,10,2.5,1,g,0402750093960718,MC.PR.GDP.102925.FLA,Cannabist FL,No,No,25% OFF for Patients 55+,2.5,
Mint Sarasota,175845365,2026-01-12T19:21:29.8,509944978,13804385,22301840,1,35,,35,17.5,3.5,g,2407797806157915,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Sarasota,175845365,2026-01-12T19:21:29.8,509944979,13804385,22301840,1,35,,35,17.5,3.5,g,2407797806157915,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Sarasota,175845365,2026-01-12T19:21:29.8,509944982,13804385,22301840,1,35,,35,17.5,3.5,g,2407797806157915,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Sarasota,175845365,2026-01-12T19:21:29.8,509944983,13804385,22301840,1,35,,35,17.5,3.5,g,2407797806157915,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Sarasota,175845365,2026-01-12T19:21:29.8,509944987,13804385,22301840,1,35,,35,17.5,3.5,g,2407797806157915,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Sarasota,175845365,2026-01-12T19:21:29.8,509944988,13804385,22301840,1,35,,35,17.5,3.5,g,2407797806157915,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Sarasota,175845365,2026-01-12T19:21:29.8,509944989,13804385,22301840,1,35,,35,17.5,3.5,g,2407797806157915,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Sarasota,175845365,2026-01-12T19:21:29.8,509944990,13804385,22301840,1,35,,35,17.5,3.5,g,2407797806157915,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Sarasota,175845809,2026-01-12T20:04:00.35,509946363,13805390,22273545,1,45,10.5,45,20.25,3.5,g,8720366589733448,MCP.TKG.111725.FLA,Cannabist FL,No,No,45% Off Mint Premium 3.5G,20.25,
Mint Sarasota,175845809,2026-01-12T20:04:00.35,509946391,13798387,22275663,1,20,,20,4,0.1,g,7976603439882493,MCP.CD.RSO.MCH.111425.FLA,Cannabist FL,No,No,$16 Chocolates,4,
Mint Sarasota,175845809,2026-01-12T20:04:00.35,509946359,13732435,22289039,1,35,13.73,35,17.5,3.5,g,3748515822638449,SS.SNB.091525.FLA,Cannabist FL,No,No,50% Off Select Flower,17.5,
Mint Sarasota,175848699,2026-01-13T09:03:25.397,509952740,13797953,22165583,1,45,17.31,45,16,1,g,4214747017204060,DL.SSD.082725.FLA,Cannabist FL,No,No,"$29 Shatter, Crumble & Dablicators/Syringes",16,
Mint Sarasota,175848699,2026-01-13T09:03:25.397,509952746,13803820,22273534,1,40,17.31,40,11,1,g,8877528144757229,MC.SYR.HKB.111225.FLA,Cannabist FL,No,No,"$29 Shatter, Crumble & Dablicators/Syringes",11,
Mint Sarasota,175848699,2026-01-13T09:03:25.397,509952738,13803830,22273555,1,20,,20,5.5,0.1,g,9661337083880134,MCP.CD.RSO.MCH.PB.111925.FLA,Cannabist FL,No,No,2 - RSO Chocolates $29,5.5,
Mint Sarasota,175848699,2026-01-13T09:03:25.397,509952747,13804241,22282991,1,28,,28,13,0.1,g,8969059794258456,MCP.RSO.C.CHER.120425.FLA,Cannabist FL,No,No,2 For $30 Chews,13,
Mint Sarasota,175848699,2026-01-13T09:03:25.397,509952748,13804241,22282991,1,28,,28,13,0.1,g,8969059794258456,MCP.RSO.C.CHER.120425.FLA,Cannabist FL,No,No,2 For $30 Chews,13,
