Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Spring Valley,175843539,2026-01-12T21:46:15.973,509939331,13804768,22288403,1,20,10,20,0,1,g,1A4040300008A49000024687,1A4040300008A49000024687,WELLNESS CONNECTION OF NEVADA LLC (DBA PRESSURE),No,No,,,Clark County Sales Tax:1.675; Excise Tax 10%:2
Mint Spring Valley,175845325,2026-01-12T19:10:01.383,509944753,13702214,22209535,1,7,0.01,7,0,0.01,g,1A40403000000CA000081320,1A40403000000CA000081320,SILVER STATE WELLNESS (DBA KEEF/CLEAR/VADA/KARMA PROD),No,No,,,Clark County Sales Tax:0.5863; Excise Tax 10%:0.7
Mint Spring Valley,175845325,2026-01-12T19:10:01.383,509944754,13702214,22209535,1,7,0.01,7,0,0.01,g,1A40403000000CA000081320,1A40403000000CA000081320,SILVER STATE WELLNESS (DBA KEEF/CLEAR/VADA/KARMA PROD),No,No,,,Clark County Sales Tax:0.5863; Excise Tax 10%:0.7
Mint Spring Valley,175845438,2026-01-12T19:20:31.07,509945088,13777252,22158364,1,7,2,7,2,1,g,1A4040300005D5E000011570,1A4040300005D5E000011570,MEDICAL CANNABIS HEALING LLC (DBA KUSHBERRY),No,No,5 For $25 Kushberry - Preroll 1g EDLP,2,Clark County Sales Tax:0.4188; Excise Tax 10%:0.5
Mint Spring Valley,175845438,2026-01-12T19:20:31.07,509945086,13769466,22158366,1,7,2,7,2,1,g,1A4040300005D5E000011568,1A4040300005D5E000011568,MEDICAL CANNABIS HEALING LLC (DBA KUSHBERRY),No,No,5 For $25 Kushberry - Preroll 1g EDLP,2,Clark County Sales Tax:0.4188; Excise Tax 10%:0.5
Mint Spring Valley,175845438,2026-01-12T19:20:31.07,509945089,13794985,22227141,1,7,2,7,2,1,g,1A4040300005D5E000012727,1A4040300005D5E000012727,MEDICAL CANNABIS HEALING LLC (DBA KUSHBERRY),No,No,5 For $25 Kushberry - Preroll 1g EDLP,2,Clark County Sales Tax:0.4188; Excise Tax 10%:0.5
Mint Spring Valley,175845438,2026-01-12T19:20:31.07,509945085,13716922,22286794,1,7,2,7,2,1,g,1A4040300005D5E000013810,1A4040300005D5E000013810,MEDICAL CANNABIS HEALING LLC (DBA KUSHBERRY),No,No,5 For $25 Kushberry - Preroll 1g EDLP,2,Clark County Sales Tax:0.4188; Excise Tax 10%:0.5
Mint Spring Valley,175845438,2026-01-12T19:20:31.07,509945087,13703397,22286805,1,7,2,7,2,1,g,1A4040300005D5E000013808,1A4040300005D5E000013808,MEDICAL CANNABIS HEALING LLC (DBA KUSHBERRY),No,No,5 For $25 Kushberry - Preroll 1g EDLP,2,Clark County Sales Tax:0.4188; Excise Tax 10%:0.5
Mint Spring Valley,175845454,2026-01-12T19:22:19.907,509945154,13805513,22302230,1,50,22.5,50,0,2,g,1A4040300000CEE000114935,1A4040300000CEE000114935,Acres Medical LLC (PROD.),No,No,,,Clark County Sales Tax:4.1875; Excise Tax 10%:5
Mint Spring Valley,175845454,2026-01-12T19:22:19.907,509945161,13802986,22302232,1,50,22.5,50,49.99,2,g,1A4040300000CEE000115340,1A4040300000CEE000115340,Acres Medical LLC (PROD.),No,No,* NV Locals - FTP BOGO .01,49.99,Clark County Sales Tax:0.0008; Excise Tax 10%:0.001
