Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint St. Augustine,175842202,2026-01-13T09:39:34.81,509953127,13801483,22276869,1,99,18.84,99,43.56,,g,01230,01230,Cannabist FL,No,No,44% Off  Retired Hero's,43.56,
Mint St. Augustine,175842202,2026-01-13T09:39:34.81,509953128,13804383,22299953,1,120,52,120,52.8,14,g,9768086211880948,MC.SRH.120925.FLA,Mint Cannabis,No,No,44% Off  Retired Hero's,52.8,
Mint St. Augustine,175842202,2026-01-13T09:39:34.81,509934889,13804383,22299953,1,120,52,120,52.8,14,g,9768086211880948,MC.SRH.120925.FLA,Mint Cannabis,No,No,44% Off  Retired Hero's,52.8,
Mint St. Augustine,175845158,2026-01-12T19:07:39.613,509944328,13800868,22263302,1,60,20.33,60,36,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),36,
Mint St. Augustine,175845222,2026-01-12T19:01:51.5,509944438,13804385,22302677,1,35,,35,14.7,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,42% Off Mint Cannabis 3.5G,14.7,
Mint St. Augustine,175845234,2026-01-12T19:02:34.23,509944497,13804352,22286579,1,45,10.5,45,45,3.5,g,3693326183710439,MCP.LCM.112625.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Premium 3.5g",45,
Mint St. Augustine,175845234,2026-01-12T19:02:34.23,509944495,13804352,22286579,1,45,10.5,45,0,3.5,g,3693326183710439,MCP.LCM.112625.FLA,Mint Cannabis,No,No,,,
Mint St. Augustine,175845268,2026-01-12T19:04:50.947,509944596,13800868,22263302,1,60,20.33,60,60,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,400 Loyalty Points FREE Product - 1G distillate 510 Vape,60,
Mint St. Augustine,175845495,2026-01-12T19:30:25.443,509945334,13800860,22249580,1,75,10,75,45,1,g,2712192832379396,WTF.AIO.D.AFS.100925.FLA,Cannabist FL,No,No,3rd Patient 60% Off (Orders $165 or LESS),45,
Mint St. Augustine,175845495,2026-01-12T19:30:25.443,509945370,13804385,22302677,1,35,,35,21,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),21,
Mint St. Augustine,175845495,2026-01-12T19:30:25.443,509945319,13804385,22302677,1,35,,35,21,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,3rd Patient 60% Off (Orders $165 or LESS),21,
Mint St. Augustine,175845851,2026-01-12T19:57:54.3,509946280,13731999,22276313,1,40,12.78,40,24,0.3,g,3338872647770987,SS.C.X.CBD.041825.FLA,Cannabist FL,No,No,2nd Patient 60% Off (Orders $300 or LESS),24,
Mint St. Augustine,175845851,2026-01-12T19:57:54.3,509946276,13731999,22276313,1,40,12.78,40,24,0.3,g,3338872647770987,SS.C.X.CBD.041825.FLA,Cannabist FL,No,No,2nd Patient 60% Off (Orders $300 or LESS),24,
Mint St. Augustine,175845851,2026-01-12T19:57:54.3,509946273,13731999,22276313,1,40,12.78,40,24,0.3,g,3338872647770987,SS.C.X.CBD.041825.FLA,Cannabist FL,No,No,2nd Patient 60% Off (Orders $300 or LESS),24,
Mint St. Augustine,175845851,2026-01-12T19:57:54.3,509946285,13731999,22276313,1,40,12.78,40,24,0.3,g,3338872647770987,SS.C.X.CBD.041825.FLA,Cannabist FL,No,No,2nd Patient 60% Off (Orders $300 or LESS),24,
Mint St. Augustine,175846017,2026-01-12T20:15:56.193,509946843,13800512,22292738,1,20,5.61,20,6.66,0.1,g,8983400611297846,MCP.CD.RSO.DC.MSC.120325.FLA,Cannabist FL,No,No,"OR Buy 2 at Full Price, Get 1 Free - RSO Chocolate",6.66,
Mint St. Augustine,175846017,2026-01-12T20:15:56.193,509946841,13800512,22292738,1,20,5.61,20,6.67,0.1,g,8983400611297846,MCP.CD.RSO.DC.MSC.120325.FLA,Cannabist FL,No,No,"OR Buy 2 at Full Price, Get 1 Free - RSO Chocolate",6.67,
Mint St. Augustine,175846017,2026-01-12T20:15:56.193,509946839,13800512,22292738,1,20,5.61,20,6.67,0.1,g,8983400611297846,MCP.CD.RSO.DC.MSC.120325.FLA,Cannabist FL,No,No,"OR Buy 2 at Full Price, Get 1 Free - RSO Chocolate",6.67,
Mint St. Augustine,175846017,2026-01-12T20:15:56.193,509946819,13800868,22263302,1,60,20.33,60,40,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,"OR Buy 1 Full Gram Vape at Retail Price, Get 2 FREE",40,
Mint St. Augustine,175846017,2026-01-12T20:15:56.193,509946818,13800868,22263302,1,60,20.33,60,40,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,"OR Buy 1 Full Gram Vape at Retail Price, Get 2 FREE",40,
Mint St. Augustine,175846017,2026-01-12T20:15:56.193,509946816,13800868,22263302,1,60,20.33,60,40,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,"OR Buy 1 Full Gram Vape at Retail Price, Get 2 FREE",40,
Mint St. Augustine,175846017,2026-01-12T20:15:56.193,509946827,13804385,22302677,1,35,,35,17.5,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint St. Augustine,175846017,2026-01-12T20:15:56.193,509946826,13804363,22299948,1,35,10.5,35,17.5,3.5,g,5784005091730240,MC.MEL.121125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint St. Augustine,175846090,2026-01-12T20:20:06.597,509946977,13804385,22302677,1,35,,35,17.5,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint St. Augustine,175846090,2026-01-12T20:20:06.597,509946976,13804385,22302677,1,35,,35,17.5,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint St. Augustine,175848629,2026-01-13T08:15:38.007,509952619,13803820,22270337,1,40,17.31,40,11,1,g,3453346483352849,MC.SYR.HKB.111225.FLA,Cannabist FL,No,No,"$29 Shatter, Crumble & Dablicators/Syringes",11,
Mint St. Augustine,175848629,2026-01-13T08:15:38.007,509952617,13803820,22270337,1,40,17.31,40,11,1,g,3453346483352849,MC.SYR.HKB.111225.FLA,Cannabist FL,No,No,"$29 Shatter, Crumble & Dablicators/Syringes",11,
Mint St. Augustine,175848629,2026-01-13T08:15:38.007,509952622,13797953,22167874,1,45,17.31,45,16,1,g,8675710643048099,DL.SSD.082725.FLA,Cannabist FL,No,No,"$29 Shatter, Crumble & Dablicators/Syringes",16,
Mint St. Augustine,175848629,2026-01-13T08:15:38.007,509952620,13797953,22167874,1,45,17.31,45,16,1,g,8675710643048099,DL.SSD.082725.FLA,Cannabist FL,No,No,"$29 Shatter, Crumble & Dablicators/Syringes",16,
Mint St. Augustine,175848629,2026-01-13T08:15:38.007,509952608,13799546,22286627,1,28,,28,13,0.1,g,0382946830184141,MCP.RSO.C.BLAB.112825.FLA,Mint Cannabis,No,No,2 For $30 Chews,13,
Mint St. Augustine,175848629,2026-01-13T08:15:38.007,509952607,13799546,22286627,1,28,,28,13,0.1,g,0382946830184141,MCP.RSO.C.BLAB.112825.FLA,Mint Cannabis,No,No,2 For $30 Chews,13,
Mint St. Augustine,175848629,2026-01-13T08:15:38.007,509952605,13799546,22286627,1,28,,28,13,0.1,g,0382946830184141,MCP.RSO.C.BLAB.112825.FLA,Mint Cannabis,No,No,2 For $30 Chews,13,
Mint St. Augustine,175848629,2026-01-13T08:15:38.007,509952604,13799546,22286627,1,28,,28,13,0.1,g,0382946830184141,MCP.RSO.C.BLAB.112825.FLA,Mint Cannabis,No,No,2 For $30 Chews,13,
Mint St. Augustine,175848666,2026-01-13T08:34:26.68,509952674,13801115,22255984,1,95,20,95,52.25,2,g,3690692168561701,WTF.AIO.D.LCG.101225.FLA,Mint Cannabis,No,No,55% Off ALL Distillate Vapes,52.25,
Mint St. Augustine,175848844,2026-01-13T09:43:10.333,509953175,13804385,22302677,1,35,,35,15,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,$20  Mint Cannabis 3.5G,15,
Mint St. Augustine,175848844,2026-01-13T09:43:10.333,509953174,13804363,22299948,1,35,10.5,35,15,3.5,g,5784005091730240,MC.MEL.121125.FLA,Mint Cannabis,No,No,$20  Mint Cannabis 3.5G,15,
Mint St. Augustine,175848997,2026-01-13T10:51:15.53,509953656,13801112,22255978,1,95,20,95,52.25,2,g,7013761624944374,WTF.AIO.D.GPI.101225.FLA2,Cannabist FL,No,No,55% Off ALL Distillate Vapes,52.25,
Mint St. Augustine,175848997,2026-01-13T10:51:15.53,509953653,13800867,22249857,1,75,10,75,41.25,1,g,0521816736578814,WTF.AIO.D.RAS.101125.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,41.25,
Mint St. Augustine,175848997,2026-01-13T10:51:15.53,509953657,13800865,22249728,1,75,10,75,41.25,1,g,7490305790521171,WTF.AIO.D.LCG.101125.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,41.25,
Mint St. Augustine,175849029,2026-01-13T10:28:36.387,509953773,13800860,22249580,1,75,10,75,45,1,g,2712192832379396,WTF.AIO.D.AFS.100925.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),45,
Mint St. Augustine,175849029,2026-01-13T10:28:36.387,509953771,13732498,22277381,1,45,17.17,45,27,1,g,9631462162489345,MC.SH.CAR.113025.FLA,Mint Cannabis,No,No,1st Patient 60% Off (Not Stackable),27,
Mint St. Augustine,175849089,2026-01-13T10:37:05.157,509953949,13800860,22249580,1,75,10,75,41.25,1,g,2712192832379396,WTF.AIO.D.AFS.100925.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,41.25,
Mint St. Augustine,175849089,2026-01-13T10:37:05.157,509953953,13804385,22302677,1,35,,35,15,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,$20  Mint Cannabis 3.5G,15,
Mint St. Augustine,175849089,2026-01-13T10:37:05.157,509953950,13804385,22302677,1,35,,35,15,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,$20  Mint Cannabis 3.5G,15,
Mint St. Augustine,175849089,2026-01-13T10:37:05.157,509953948,13803940,22286573,1,50,18.57,50,0,0.6,g,3008760060677731,MCP.T.E.PEP.111725.FLA,Mint Cannabis,No,No,,,
Mint St. Augustine,175849353,2026-01-13T11:28:22.733,509954936,13801108,22255976,1,95,20,95,52.25,2,g,9626729448637369,WTF.AIO.D.AFS.101225.FLA,Mint Cannabis,No,No,55% Off ALL Distillate Vapes,52.25,
Mint St. Augustine,175849376,2026-01-13T11:31:54.057,509954965,13804363,22299948,1,35,10.5,35,21,3.5,g,5784005091730240,MC.MEL.121125.FLA,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),21,
Mint St. Augustine,175849376,2026-01-13T11:31:54.057,509954970,13804385,22302677,1,35,,35,21,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),21,
Mint St. Augustine,175849376,2026-01-13T11:31:54.057,509954969,13804385,22302677,1,35,,35,21,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),21,
Mint St. Augustine,175849376,2026-01-13T11:31:54.057,509954964,13804383,22299953,1,120,52,120,72,14,g,9768086211880948,MC.SRH.120925.FLA,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),72,
Mint St. Augustine,175849376,2026-01-13T11:31:54.057,509954968,13804363,22299948,1,35,10.5,35,21,3.5,g,5784005091730240,MC.MEL.121125.FLA,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),21,
Mint St. Augustine,175849386,2026-01-13T11:29:51.243,509954943,13801117,22255998,1,95,20,95,57,2,g,0173823310675988,WTF.AIO.D.PEX.101225.FLA2,Cannabist FL,No,No,2nd Patient 60% Off (Orders $300 or LESS),57,
Mint St. Augustine,175849404,2026-01-13T11:33:08.66,509955002,13804385,22302677,1,35,,35,15.25,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint St. Augustine,175849404,2026-01-13T11:33:08.66,509955001,13804385,22302677,1,35,,35,15.25,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint St. Augustine,175849404,2026-01-13T11:33:08.66,509954999,13804385,22302677,1,35,,35,15.25,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
