Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint St. Peters,175840100,2026-01-12T20:23:10.673,509947079,13794337,22285524,1,40,19,40,15,1,g,1A40C0300002BC3000049536,1A40C0300002BC3000049536,"1913 Carrollton Manufacturing, LLC",No,No,$25 Mac Pharms - Cartridge Distillate 1g EDLP,15,MO Recreational Cannabis Tax:1.5; MO Recreational County Tax:0.4313; St Peters City Tax:1.25; State Sales Tax:1.0563
Mint St. Peters,175840329,2026-01-12T21:25:13.883,509948673,13805547,22303677,1,91,45.5,91,46,14,g,1A40C03000022C6000015234,1A40C03000022C6000015234,"1913 Carrollton, LLC",No,No,2 for $90 Stability - Flower 14g EDLP,46,MO Recreational Cannabis Tax:2.7; MO Recreational County Tax:0.7763; St Peters City Tax:2.25; State Sales Tax:1.9013
Mint St. Peters,175840329,2026-01-12T21:25:13.883,509948675,13805546,22303674,1,91,45.5,91,46,14,g,1A40C03000022C6000015228,1A40C03000022C6000015228,"1913 Carrollton, LLC",No,No,2 for $90 Stability - Flower 14g EDLP,46,MO Recreational Cannabis Tax:2.7; MO Recreational County Tax:0.7763; St Peters City Tax:2.25; State Sales Tax:1.9013
Mint St. Peters,175841197,2026-01-12T20:17:30.943,509946885,13802834,22302972,1,40,10,40,20,1,g,1A40C03000024B9000010461,1A40C03000024B9000010461,"Flora Ceres, Inc.",No,No,$20 Origin Extracts - Cured Concentrates 1g EDLP,20,MO Recreational Cannabis Tax:1.2; MO Recreational County Tax:0.345; St Peters City Tax:1; State Sales Tax:0.845
Mint St. Peters,175841197,2026-01-12T20:17:30.943,509946925,13804052,22302968,1,50,12,50,25,1,g,1A40C03000024B9000010466,1A40C03000024B9000010466,"Flora Ceres, Inc.",No,No,$25 Origin Extracts - Live Concentrates 1g EDLP,25,MO Recreational Cannabis Tax:1.5; MO Recreational County Tax:0.4313; St Peters City Tax:1.25; State Sales Tax:1.0563
Mint St. Peters,175841197,2026-01-12T20:17:30.943,509946886,13804053,22302967,1,50,11,50,25,1,g,1A40C03000024B9000010465,1A40C03000024B9000010465,"Flora Ceres, Inc.",No,No,$25 Origin Extracts - Live Concentrates 1g EDLP,25,MO Recreational Cannabis Tax:1.5; MO Recreational County Tax:0.4313; St Peters City Tax:1.25; State Sales Tax:1.0563
Mint St. Peters,175841197,2026-01-12T20:17:30.943,509946927,13801788,22275867,1,50,25,50,25,1,g,1A40C03000024B9000010290,1A40C03000024B9000010290,"Flora Ceres, Inc.",No,No,$25 Origin Extracts - Live Concentrates 1g EDLP,25,MO Recreational Cannabis Tax:1.5; MO Recreational County Tax:0.4313; St Peters City Tax:1.25; State Sales Tax:1.0563
Mint St. Peters,175842216,2026-01-12T19:12:16.393,509944842,13795072,22112148,1,9,4.5,9,0,1,g,1A40C03000041A1000096747,1A40C03000041A1000096747,Elevation Cannabis Manufacturing LLC,No,No,,,MO Recreational Cannabis Tax:0.54; MO Recreational County Tax:0.1553; St Peters City Tax:0.45; State Sales Tax:0.3803
Mint St. Peters,175842216,2026-01-12T19:12:16.393,509944841,12708759,22296756,1,11,5.25,11,0,0.1,g,1A40C0300002969000089520,1A40C0300002969000089520,"Flora Ceres Charlotte, Inc",No,No,,,MO Recreational Cannabis Tax:0.66; MO Recreational County Tax:0.1898; St Peters City Tax:0.55; State Sales Tax:0.4648
Mint St. Peters,175842758,2026-01-12T21:26:32.36,509948684,13802116,22247657,1,20,10,20,3,1,g,1A40C0300003CF3000077867,1A40C0300003CF3000077867,GF Saint Mary LLC,No,No,Nocturnal Nugs,3,MO Recreational Cannabis Tax:1.02; MO Recreational County Tax:0.2933; St Peters City Tax:0.85; State Sales Tax:0.7183
Mint St. Peters,175842758,2026-01-12T21:26:32.36,509948688,13803190,22257669,1,40,16,40,6,3.5,g,1A40C03000000C9000144607,1A40C03000000C9000144607,OXG LLC,No,No,Nocturnal Nugs,6,MO Recreational Cannabis Tax:2.04; MO Recreational County Tax:0.5865; St Peters City Tax:1.7; State Sales Tax:1.4365
Mint St. Peters,175842758,2026-01-12T21:26:32.36,509948686,13089435,22287092,1,24,12,24,3.6,0.1,g,1A40C0300004845000070707,1A40C0300004845000070707,TC AppliCo LLC,No,No,Nocturnal Nugs,3.6,MO Recreational Cannabis Tax:1.224; MO Recreational County Tax:0.3519; St Peters City Tax:1.02; State Sales Tax:0.8619
Mint St. Peters,175842951,2026-01-12T20:54:26.833,509947991,13804059,22303727,1,25,14.87,25,13.75,3.5,g,1A40C03000022C6000015226,1A40C03000022C6000015226,"1913 Carrollton, LLC",No,No,8 For $90 Stability - Flower 3.5g EDLP,13.75,MO Recreational Cannabis Tax:0.675; MO Recreational County Tax:0.1941; St Peters City Tax:0.5625; State Sales Tax:0.4753
Mint St. Peters,175842951,2026-01-12T20:54:26.833,509947987,13804059,22303727,1,25,14.87,25,13.75,3.5,g,1A40C03000022C6000015226,1A40C03000022C6000015226,"1913 Carrollton, LLC",No,No,8 For $90 Stability - Flower 3.5g EDLP,13.75,MO Recreational Cannabis Tax:0.675; MO Recreational County Tax:0.1941; St Peters City Tax:0.5625; State Sales Tax:0.4753
Mint St. Peters,175842951,2026-01-12T20:54:26.833,509947986,13804059,22303727,1,25,14.87,25,13.75,3.5,g,1A40C03000022C6000015226,1A40C03000022C6000015226,"1913 Carrollton, LLC",No,No,8 For $90 Stability - Flower 3.5g EDLP,13.75,MO Recreational Cannabis Tax:0.675; MO Recreational County Tax:0.1941; St Peters City Tax:0.5625; State Sales Tax:0.4753
Mint St. Peters,175842951,2026-01-12T20:54:26.833,509947983,13804059,22303727,1,25,14.87,25,13.75,3.5,g,1A40C03000022C6000015226,1A40C03000022C6000015226,"1913 Carrollton, LLC",No,No,8 For $90 Stability - Flower 3.5g EDLP,13.75,MO Recreational Cannabis Tax:0.675; MO Recreational County Tax:0.1941; St Peters City Tax:0.5625; State Sales Tax:0.4753
Mint St. Peters,175842951,2026-01-12T20:54:26.833,509947980,13804059,22303727,1,25,14.87,25,13.75,3.5,g,1A40C03000022C6000015226,1A40C03000022C6000015226,"1913 Carrollton, LLC",No,No,8 For $90 Stability - Flower 3.5g EDLP,13.75,MO Recreational Cannabis Tax:0.675; MO Recreational County Tax:0.1941; St Peters City Tax:0.5625; State Sales Tax:0.4753
