Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Stuart,175833037,2026-01-12T20:12:18.013,509920014,13803664,22298964,1,35,10.5,35,17.5,3.5,g,9124427044423937,MC.AND.110325.FLA,Cannabist FL,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Stuart,175833037,2026-01-12T20:12:18.013,509920007,13804384,22303932,1,35,10.5,35,17.5,3.5,g,7413792661065776,MC.SRH.120825.FLA,Cannabist FL,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Stuart,175833037,2026-01-12T20:12:18.013,509920008,13804384,22303932,1,35,10.5,35,17.5,3.5,g,7413792661065776,MC.SRH.120825.FLA,Cannabist FL,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Stuart,175833037,2026-01-12T20:12:18.013,509920009,13804385,22303975,1,35,10.5,35,17.5,3.5,g,8668438251759613,MC.ALB.120125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Stuart,175845480,2026-01-12T19:22:51.907,509945178,13804384,22303932,1,35,10.5,35,17.5,3.5,g,7413792661065776,MC.SRH.120825.FLA,Cannabist FL,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Stuart,175845480,2026-01-12T19:22:51.907,509945182,13804384,22303932,1,35,10.5,35,17.5,3.5,g,7413792661065776,MC.SRH.120825.FLA,Cannabist FL,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Stuart,175845786,2026-01-12T19:49:30.507,509946000,13804384,22303932,1,35,10.5,35,17.5,3.5,g,7413792661065776,MC.SRH.120825.FLA,Cannabist FL,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Stuart,175845786,2026-01-12T19:49:30.507,509945999,13804363,22303984,1,35,10.5,35,17.5,3.5,g,3162079656504599,MC.MEL.121125.FLA,Mint Cannabis,No,No,"OR Buy One at Full Price, Get One Free - Mint Cannabis 3.5",17.5,
Mint Stuart,175845971,2026-01-12T20:07:05.913,509946611,13732498,22275735,1,45,17.17,45,15.75,1,g,5509346672740507,MC.SH.CAR.113025.FLA,Cannabist FL,No,No,"35% Off Shatter, Crumble, Syringes & Dablicators",15.75,
Mint Stuart,175846217,2026-01-12T20:28:43.313,509947250,13804358,22292085,1,65,,65,43.33,1,g,8526337265716988,MCP.CO.V.GVB.120425.FLA,Cannabist FL,No,No,"Buy 1 at Full price, Get 2 FREE 1G Vapes w/ Mint Premium",43.33,
Mint Stuart,175846217,2026-01-12T20:28:43.313,509947252,13804358,22292085,1,65,,65,43.33,1,g,8526337265716988,MCP.CO.V.GVB.120425.FLA,Cannabist FL,No,No,"Buy 1 at Full price, Get 2 FREE 1G Vapes w/ Mint Premium",43.33,
Mint Stuart,175846217,2026-01-12T20:28:43.313,509947249,13804375,22292086,1,65,,65,43.34,1,g,0439188011761543,MCP.CO.V.ORB.111225.FLA,Cannabist FL,No,No,"Buy 1 at Full price, Get 2 FREE 1G Vapes w/ Mint Premium",43.34,
Mint Stuart,175846269,2026-01-13T16:18:34.793,509962593,13731999,22116489,1,40,12.78,40,20,0.3,g,9826287594715181,SS.C.X.CBD.041825.FLA,Cannabist FL,No,No,50% Off Select Capsules,20,
Mint Stuart,175846269,2026-01-13T16:18:34.793,509962596,13731999,22116489,1,40,12.78,40,20,0.3,g,9826287594715181,SS.C.X.CBD.041825.FLA,Cannabist FL,No,No,50% Off Select Capsules,20,
Mint Stuart,175846269,2026-01-13T16:18:34.793,509947404,13803618,22267119,1,75,27.7,75,18.75,1.5,g,8629812611764884,MC.C.F.THC.102125.FLA,Cannabist FL,No,No,25% OFF for Patients 55+,18.75,
Mint Stuart,175846269,2026-01-13T16:18:34.793,509947405,13803618,22267119,1,75,27.7,75,18.75,1.5,g,8629812611764884,MC.C.F.THC.102125.FLA,Cannabist FL,No,No,25% OFF for Patients 55+,18.75,
Mint Stuart,175848672,2026-01-13T08:43:53.273,509952687,13803664,22298964,1,35,10.5,35,15,3.5,g,9124427044423937,MC.AND.110325.FLA,Cannabist FL,No,No,$20  Mint Cannabis 3.5G,15,
Mint Stuart,175848672,2026-01-13T08:43:53.273,509952686,13805390,22303768,1,45,10.5,45,20,3.5,g,3411000150504301,MCP.TKG.111725.FLA,Cannabist FL,No,No,$25 Mint Premium 3.5G,20,
Mint Stuart,175848897,2026-01-13T09:59:30.9,509953317,13800868,22266920,1,60,20.33,60,60,1,g,1514938990483450,MC.V.CAC.101325.FLA,Cannabist FL,No,No,400 Loyalty Points FREE Product - 1G distillate 510 Vape,60,
Mint Stuart,175848897,2026-01-13T09:59:30.9,509953301,13804355,22298965,1,35,10.5,35,15,3.5,g,8919676222876712,MCP.LCM.112625.FLA,Cannabist FL,No,No,$20  Mint Cannabis 3.5G,15,
Mint Stuart,175848897,2026-01-13T09:59:30.9,509953300,13803665,22298966,1,35,10.5,35,15,3.5,g,3051923573911379,MC.LH.110625.FLA,Cannabist FL,No,No,$20  Mint Cannabis 3.5G,15,
Mint Stuart,175848926,2026-01-13T10:06:52.947,509953372,13803664,22298964,1,35,10.5,35,21,3.5,g,9124427044423937,MC.AND.110325.FLA,Cannabist FL,No,No,2nd Patient 60% Off (Orders $300 or LESS),21,
Mint Stuart,175848926,2026-01-13T10:06:52.947,509953373,13803665,22298966,1,35,10.5,35,21,3.5,g,3051923573911379,MC.LH.110625.FLA,Cannabist FL,No,No,2nd Patient 60% Off (Orders $300 or LESS),21,
Mint Stuart,175848926,2026-01-13T10:06:52.947,509953371,13804385,22303975,1,35,10.5,35,21,3.5,g,8668438251759613,MC.ALB.120125.FLA,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),21,
Mint Stuart,175848926,2026-01-13T10:06:52.947,509953401,13804385,22303975,1,35,10.5,35,21,3.5,g,8668438251759613,MC.ALB.120125.FLA,Mint Cannabis,No,No,2nd Patient 60% Off (Orders $300 or LESS),21,
Mint Stuart,175848963,2026-01-13T10:16:05.623,509953516,13801108,22255986,1,95,20,95,57,2,g,2272470740481476,WTF.AIO.D.AFS.101225.FLA,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),57,
Mint Stuart,175848963,2026-01-13T10:16:05.623,509953503,13801121,22255997,1,95,20,95,57,2,g,4504539750832248,WTF.AIO.D.SMH.101225.FLA2,Cannabist FL,No,No,1st Patient 60% Off (Not Stackable),57,
Mint Stuart,175848988,2026-01-13T10:56:44.027,509953752,13804355,22298965,1,35,10.5,35,15.25,3.5,g,8919676222876712,MCP.LCM.112625.FLA,Cannabist FL,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Stuart,175848988,2026-01-13T10:56:44.027,509953755,13804355,22298965,1,35,10.5,35,15.25,3.5,g,8919676222876712,MCP.LCM.112625.FLA,Cannabist FL,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Stuart,175848988,2026-01-13T10:56:44.027,509953756,13804355,22298965,1,35,10.5,35,15.25,3.5,g,8919676222876712,MCP.LCM.112625.FLA,Cannabist FL,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Stuart,175848988,2026-01-13T10:56:44.027,509953759,13804355,22298965,1,35,10.5,35,15.25,3.5,g,8919676222876712,MCP.LCM.112625.FLA,Cannabist FL,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint Stuart,175849209,2026-01-13T10:58:25.837,509954281,13801108,22255986,1,95,20,95,57,2,g,2272470740481476,WTF.AIO.D.AFS.101225.FLA,Cannabist FL,No,No,2nd Patient 60% Off (Orders $300 or LESS),57,
Mint Stuart,175849298,2026-01-13T11:18:19.063,509954535,13800870,22275612,1,60,20.33,60,38,1,g,9005187277575507,MC.V.PNC.100325.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint Stuart,175849298,2026-01-13T11:18:19.063,509954536,13800870,22275612,1,60,20.33,60,38,1,g,9005187277575507,MC.V.PNC.100325.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint Stuart,175849298,2026-01-13T11:18:19.063,509954537,13804359,22292089,1,60,20.33,60,33,1,g,7867323674736615,MC.V.HKB.120825.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,33,
