Branch,Account,Description,Subaccount,Ref. Number,Quantity,UOM,Debit Amount,Credit Amount,Transaction Description,Customer/Vendor
Mint Kalamazoo,Sales Revenue,Uncategorized,,SALES-20260113-660d73ec-635f-437b-b064-a602623e4684,657.6799999999997,EA,,5959.00,Uncategorized Sales - 2026-01-13,Various
Mint Kalamazoo,Sales Tax Payable,Uncategorized,,SALES-20260113-660d73ec-635f-437b-b064-a602623e4684,,,,709.15,Uncategorized Tax Collected - 2026-01-13,State Tax Authority
Mint Kalamazoo,Sales Discounts,Uncategorized,,SALES-20260113-660d73ec-635f-437b-b064-a602623e4684,,,1667.58,,Uncategorized Discounts - 2026-01-13,Various
Mint Spring Valley,Sales Revenue,Uncategorized,,SALES-20260113-577553d7-7604-4f34-948c-ee123dfd79ce,244,EA,,5826.01,Uncategorized Sales - 2026-01-13,Various
Mint Spring Valley,Sales Tax Payable,Uncategorized,,SALES-20260113-577553d7-7604-4f34-948c-ee123dfd79ce,,,,660.54,Uncategorized Tax Collected - 2026-01-13,State Tax Authority
Mint Spring Valley,Sales Discounts,Uncategorized,,SALES-20260113-577553d7-7604-4f34-948c-ee123dfd79ce,,,2212.22,,Uncategorized Discounts - 2026-01-13,Various
Mint St. Peters,Sales Revenue,Uncategorized,,SALES-20260113-6011bb98c3a8f600d16b9cc7,708,EA,,23222.07,Uncategorized Sales - 2026-01-13,Various
Mint St. Peters,Sales Tax Payable,Uncategorized,,SALES-20260113-6011bb98c3a8f600d16b9cc7,,,,2536.53,Uncategorized Tax Collected - 2026-01-13,State Tax Authority
Mint St. Peters,Sales Discounts,Uncategorized,,SALES-20260113-6011bb98c3a8f600d16b9cc7,,,7843.28,,Uncategorized Discounts - 2026-01-13,Various
Mint Mesa ,Sales Revenue,Uncategorized,,SALES-20260113-242ef5f9-5fc9-41ef-bf44-5a7a4a2954a9,1455,EA,,33647.00,Uncategorized Sales - 2026-01-13,Various
Mint Mesa ,Sales Tax Payable,Uncategorized,,SALES-20260113-242ef5f9-5fc9-41ef-bf44-5a7a4a2954a9,,,,4790.65,Uncategorized Tax Collected - 2026-01-13,State Tax Authority
Mint Mesa ,Sales Discounts,Uncategorized,,SALES-20260113-242ef5f9-5fc9-41ef-bf44-5a7a4a2954a9,,,12244.05,,Uncategorized Discounts - 2026-01-13,Various
Mint Jacksonville,Sales Revenue,Uncategorized,,SALES-20260113-671fc49f3d6012bd2de86727,74,EA,,2929.99,Uncategorized Sales - 2026-01-13,Various
Mint Jacksonville,Sales Discounts,Uncategorized,,SALES-20260113-671fc49f3d6012bd2de86727,,,1444.14,,Uncategorized Discounts - 2026-01-13,Various
Mint Delray Beach,Sales Revenue,Uncategorized,,SALES-20260113-671fc5cc61f4e1b53aea6450,58,EA,,3001.00,Uncategorized Sales - 2026-01-13,Various
Mint Delray Beach,Sales Discounts,Uncategorized,,SALES-20260113-671fc5cc61f4e1b53aea6450,,,1623.75,,Uncategorized Discounts - 2026-01-13,Various
Mint Sarasota,Sales Revenue,Uncategorized,,SALES-20260113-671fc6a378379f3aa0b16209,265,EA,,9309.99,Uncategorized Sales - 2026-01-13,Various
