# GL Journal Export - 2026-01-06
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-19T17:41:39.715Z
# Time basis: Local store time (per-store timezone conversion)
# NOTE: Verify branch codes and account mappings match your accounting system.
#
Branch,Dutchie Store Name,Account,Description,Subaccount,Ref. Number,Debit Amount,Credit Amount
MID-KALAMA,Mint Kalamazoo,40001,2026-01-06 DS - Mint Kalamazoo: Daily Sales,00-00,2026-01-06 DS,0.00,"5,123.15"
MID-KALAMA,Mint Kalamazoo,40002,2026-01-06 DS - Mint Kalamazoo: Daily Sales,00-00,2026-01-06 DS,"1,374.47",0.00
MID-KALAMA,Mint Kalamazoo,40003,2026-01-06 DS - Mint Kalamazoo: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
MID-KALAMA,Mint Kalamazoo,40004,2026-01-06 DS - Mint Kalamazoo: Daily Sales,00-00,2026-01-06 DS,153.44,0.00
MID-KALAMA,Mint Kalamazoo,23500,2026-01-06 DS - Mint Kalamazoo: Daily Sales,00-00,2026-01-06 DS,0.00,621.78
MID-KALAMA,Mint Kalamazoo,10000,2026-01-06 DS - Mint Kalamazoo: Daily Sales,00-00,2026-01-06 DS,"4,208.24",0.00
MID-KALAMA,Mint Kalamazoo,11010,2026-01-06 DS - Mint Kalamazoo: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
MID-KALAMA,Mint Kalamazoo,70260,2026-01-06 DS - Mint Kalamazoo: Daily Sales,00-00,2026-01-06 DS,0.00,8.78
MID-KALAMA,Mint Kalamazoo,50000,2026-01-06 DS - Mint Kalamazoo: Daily Sales,00-00,2026-01-06 DS,"2,327.73",0.00
MID-KALAMA,Mint Kalamazoo,12250,2026-01-06 DS - Mint Kalamazoo: Daily Sales,00-00,2026-01-06 DS,0.00,"2,327.73"
NVD-RAIN,Mint Spring Valley,40001,2026-01-06 DS - Mint Spring Valley: Daily Sales,00-00,2026-01-06 DS,0.00,"4,273.50"
NVD-RAIN,Mint Spring Valley,40002,2026-01-06 DS - Mint Spring Valley: Daily Sales,00-00,2026-01-06 DS,"1,328.89",0.00
NVD-RAIN,Mint Spring Valley,40003,2026-01-06 DS - Mint Spring Valley: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
NVD-RAIN,Mint Spring Valley,40004,2026-01-06 DS - Mint Spring Valley: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
NVD-RAIN,Mint Spring Valley,23500,2026-01-06 DS - Mint Spring Valley: Daily Sales,00-00,2026-01-06 DS,0.00,527.58
NVD-RAIN,Mint Spring Valley,10000,2026-01-06 DS - Mint Spring Valley: Daily Sales,00-00,2026-01-06 DS,"3,431.94",0.00
NVD-RAIN,Mint Spring Valley,11010,2026-01-06 DS - Mint Spring Valley: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
NVD-RAIN,Mint Spring Valley,70260,2026-01-06 DS - Mint Spring Valley: Daily Sales,00-00,2026-01-06 DS,0.00,40.25
NVD-RAIN,Mint Spring Valley,50000,2026-01-06 DS - Mint Spring Valley: Daily Sales,00-00,2026-01-06 DS,"1,867.83",0.00
NVD-RAIN,Mint Spring Valley,12250,2026-01-06 DS - Mint Spring Valley: Daily Sales,00-00,2026-01-06 DS,0.00,"1,867.83"
MOD-MO4,Mint St. Peters,40001,2026-01-06 DS - Mint St. Peters: Daily Sales,00-00,2026-01-06 DS,0.00,"20,264.84"
MOD-MO4,Mint St. Peters,40002,2026-01-06 DS - Mint St. Peters: Daily Sales,00-00,2026-01-06 DS,"6,500.77",0.00
MOD-MO4,Mint St. Peters,40003,2026-01-06 DS - Mint St. Peters: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
MOD-MO4,Mint St. Peters,40004,2026-01-06 DS - Mint St. Peters: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
MOD-MO4,Mint St. Peters,23500,2026-01-06 DS - Mint St. Peters: Daily Sales,00-00,2026-01-06 DS,0.00,"2,250.45"
MOD-MO4,Mint St. Peters,10000,2026-01-06 DS - Mint St. Peters: Daily Sales,00-00,2026-01-06 DS,"15,465.23",0.00
MOD-MO4,Mint St. Peters,11010,2026-01-06 DS - Mint St. Peters: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
MOD-MO4,Mint St. Peters,70260,2026-01-06 DS - Mint St. Peters: Daily Sales,00-00,2026-01-06 DS,0.00,549.29
MOD-MO4,Mint St. Peters,50000,2026-01-06 DS - Mint St. Peters: Daily Sales,00-00,2026-01-06 DS,"8,429.93",0.00
MOD-MO4,Mint St. Peters,12250,2026-01-06 DS - Mint St. Peters: Daily Sales,00-00,2026-01-06 DS,0.00,"8,429.93"
AZD-4245IN,Mint Mesa ,40001,2026-01-06 DS - Mint Mesa : Daily Sales,00-00,2026-01-06 DS,0.00,"37,834.50"
AZD-4245IN,Mint Mesa ,40002,2026-01-06 DS - Mint Mesa : Daily Sales,00-00,2026-01-06 DS,"13,597.41",0.00
AZD-4245IN,Mint Mesa ,40003,2026-01-06 DS - Mint Mesa : Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZD-4245IN,Mint Mesa ,40004,2026-01-06 DS - Mint Mesa : Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZD-4245IN,Mint Mesa ,23500,2026-01-06 DS - Mint Mesa : Daily Sales,00-00,2026-01-06 DS,0.00,"5,309.32"
AZD-4245IN,Mint Mesa ,10000,2026-01-06 DS - Mint Mesa : Daily Sales,00-00,2026-01-06 DS,"28,331.26",0.00
AZD-4245IN,Mint Mesa ,11010,2026-01-06 DS - Mint Mesa : Daily Sales,00-00,2026-01-06 DS,0.00,0.00
AZD-4245IN,Mint Mesa ,70260,2026-01-06 DS - Mint Mesa : Daily Sales,00-00,2026-01-06 DS,0.00,"1,215.15"
AZD-4245IN,Mint Mesa ,50000,2026-01-06 DS - Mint Mesa : Daily Sales,00-00,2026-01-06 DS,"12,466.11",0.00
AZD-4245IN,Mint Mesa ,12250,2026-01-06 DS - Mint Mesa : Daily Sales,00-00,2026-01-06 DS,0.00,"12,466.11"
FLD-JA4332,Mint Jacksonville,40001,2026-01-06 DS - Mint Jacksonville: Daily Sales,00-00,2026-01-06 DS,0.00,"4,941.99"
FLD-JA4332,Mint Jacksonville,40002,2026-01-06 DS - Mint Jacksonville: Daily Sales,00-00,2026-01-06 DS,"2,455.89",0.00
FLD-JA4332,Mint Jacksonville,40003,2026-01-06 DS - Mint Jacksonville: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-JA4332,Mint Jacksonville,40004,2026-01-06 DS - Mint Jacksonville: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-JA4332,Mint Jacksonville,23500,2026-01-06 DS - Mint Jacksonville: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-JA4332,Mint Jacksonville,10000,2026-01-06 DS - Mint Jacksonville: Daily Sales,00-00,2026-01-06 DS,"1,065.10",0.00
FLD-JA4332,Mint Jacksonville,11010,2026-01-06 DS - Mint Jacksonville: Daily Sales,00-00,2026-01-06 DS,800.00,0.00
FLD-JA4332,Mint Jacksonville,70260,2026-01-06 DS - Mint Jacksonville: Daily Sales,00-00,2026-01-06 DS,0.00,621.00
FLD-JA4332,Mint Jacksonville,50000,2026-01-06 DS - Mint Jacksonville: Daily Sales,00-00,2026-01-06 DS,"1,162.09",0.00
