# GL Journal Export - 2026-01-07
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-23T21:14:21.031Z
# NOTE: Transactions are fetched using local timezone boundaries (midnight-to-midnight).
# Branch codes in this export are derived from Dutchie location names.
#
Branch	Dutchie Store Name	Account	Description	Subaccount	Ref. Number	Quantity	UOM	Debit Amount	Credit Amount
MID-KALAMA	Mint Kalamazoo	40001	Retail Income: Retail Sales	00-00	2026-01-07 DS	1.00		0.00	5,748.89
MID-KALAMA	Mint Kalamazoo	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-07 DS	1.00		1,388.03	0.00
MID-KALAMA	Mint Kalamazoo	40003	Retail Income: Sales Return	00-00	2026-01-07 DS	1.00		0.00	0.00
MID-KALAMA	Mint Kalamazoo	40004	Loyalty Discounts	00-00	2026-01-07 DS	1.00		119.55	0.00
MID-KALAMA	Mint Kalamazoo	23500	Taxes Payable - Sales & Use	00-00	2026-01-07 DS	1.00		0.00	702.48
MID-KALAMA	Mint Kalamazoo	10000	Cash on Hand	00-00	2026-01-07 DS	1.00		4,610.50	0.00
MID-KALAMA	Mint Kalamazoo	11010	Debit Card Receivable	00-00	2026-01-07 DS	1.00		347.99	0.00
MID-KALAMA	Mint Kalamazoo	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-07 DS	1.00		0.00	14.70
MID-KALAMA	Mint Kalamazoo	50000	Retail - Consumable Products for Resale	00-00	2026-01-07 DS	1.00		2,573.72	0.00
MID-KALAMA	Mint Kalamazoo	12250	Inventory - Finished Goods	00-00	2026-01-07 DS	1.00		0.00	2,573.72
NVD-RAIN	Mint Spring Valley	40001	Retail Income: Retail Sales	00-00	2026-01-07 DS	1.00		0.00	3,123.54
NVD-RAIN	Mint Spring Valley	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-07 DS	1.00		914.34	0.00
NVD-RAIN	Mint Spring Valley	40003	Retail Income: Sales Return	00-00	2026-01-07 DS	1.00		0.00	0.00
NVD-RAIN	Mint Spring Valley	40004	Loyalty Discounts	00-00	2026-01-07 DS	1.00		0.00	0.00
NVD-RAIN	Mint Spring Valley	23500	Taxes Payable - Sales & Use	00-00	2026-01-07 DS	1.00		0.00	402.19
NVD-RAIN	Mint Spring Valley	10000	Cash on Hand	00-00	2026-01-07 DS	1.00		2,445.79	0.00
NVD-RAIN	Mint Spring Valley	11010	Debit Card Receivable	00-00	2026-01-07 DS	1.00		175.37	0.00
NVD-RAIN	Mint Spring Valley	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-07 DS	1.00		0.00	9.77
NVD-RAIN	Mint Spring Valley	50000	Retail - Consumable Products for Resale	00-00	2026-01-07 DS	1.00		1,281.26	0.00
NVD-RAIN	Mint Spring Valley	12250	Inventory - Finished Goods	00-00	2026-01-07 DS	1.00		0.00	1,281.26
MOD-MO4	Mint St. Peters	40001	Retail Income: Retail Sales	00-00	2026-01-07 DS	1.00		0.00	18,578.00
MOD-MO4	Mint St. Peters	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-07 DS	1.00		5,603.41	0.00
MOD-MO4	Mint St. Peters	40003	Retail Income: Sales Return	00-00	2026-01-07 DS	1.00		0.00	0.00
MOD-MO4	Mint St. Peters	40004	Loyalty Discounts	00-00	2026-01-07 DS	1.00		130.01	0.00
MOD-MO4	Mint St. Peters	23500	Taxes Payable - Sales & Use	00-00	2026-01-07 DS	1.00		0.00	2,128.46
MOD-MO4	Mint St. Peters	10000	Cash on Hand	00-00	2026-01-07 DS	1.00		14,379.83	0.00
MOD-MO4	Mint St. Peters	11010	Debit Card Receivable	00-00	2026-01-07 DS	1.00		759.31	0.00
MOD-MO4	Mint St. Peters	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-07 DS	1.00		0.00	166.10
MOD-MO4	Mint St. Peters	50000	Retail - Consumable Products for Resale	00-00	2026-01-07 DS	1.00		8,476.49	0.00
MOD-MO4	Mint St. Peters	12250	Inventory - Finished Goods	00-00	2026-01-07 DS	1.00		0.00	8,476.49
AZD-4245IN	Mint Mesa 	40001	Retail Income: Retail Sales	00-00	2026-01-07 DS	1.00		0.00	46,305.01
AZD-4245IN	Mint Mesa 	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-07 DS	1.00		17,256.97	0.00
AZD-4245IN	Mint Mesa 	40003	Retail Income: Sales Return	00-00	2026-01-07 DS	1.00		0.00	0.00
AZD-4245IN	Mint Mesa 	40004	Loyalty Discounts	00-00	2026-01-07 DS	1.00		0.00	0.00
AZD-4245IN	Mint Mesa 	23500	Taxes Payable - Sales & Use	00-00	2026-01-07 DS	1.00		0.00	6,286.53
AZD-4245IN	Mint Mesa 	10000	Cash on Hand	00-00	2026-01-07 DS	1.00		34,235.16	0.00
AZD-4245IN	Mint Mesa 	11010	Debit Card Receivable	00-00	2026-01-07 DS	1.00		1,099.12	0.00
AZD-4245IN	Mint Mesa 	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-07 DS	1.00		0.00	-0.29
AZD-4245IN	Mint Mesa 	50000	Retail - Consumable Products for Resale	00-00	2026-01-07 DS	1.00		15,131.23	0.00
AZD-4245IN	Mint Mesa 	12250	Inventory - Finished Goods	00-00	2026-01-07 DS	1.00		0.00	15,131.23
FLD-JA4332	Mint Jacksonville	40001	Retail Income: Retail Sales	00-00	2026-01-07 DS	1.00		0.00	2,533.00
FLD-JA4332	Mint Jacksonville	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-07 DS	1.00		1,313.05	0.00
FLD-JA4332	Mint Jacksonville	40003	Retail Income: Sales Return	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-JA4332	Mint Jacksonville	40004	Loyalty Discounts	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-JA4332	Mint Jacksonville	23500	Taxes Payable - Sales & Use	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-JA4332	Mint Jacksonville	10000	Cash on Hand	00-00	2026-01-07 DS	1.00		674.05	0.00
FLD-JA4332	Mint Jacksonville	11010	Debit Card Receivable	00-00	2026-01-07 DS	1.00		567.40	0.00
FLD-JA4332	Mint Jacksonville	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-07 DS	1.00		0.00	21.50
FLD-JA4332	Mint Jacksonville	50000	Retail - Consumable Products for Resale	00-00	2026-01-07 DS	1.00		568.50	0.00
FLD-JA4332	Mint Jacksonville	12250	Inventory - Finished Goods	00-00	2026-01-07 DS	1.00		0.00	568.50
FLD-DELRAY	Mint Delray Beach	40001	Retail Income: Retail Sales	00-00	2026-01-07 DS	1.00		0.00	3,334.00
FLD-DELRAY	Mint Delray Beach	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-07 DS	1.00		1,661.90	0.00
FLD-DELRAY	Mint Delray Beach	40003	Retail Income: Sales Return	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-DELRAY	Mint Delray Beach	40004	Loyalty Discounts	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-DELRAY	Mint Delray Beach	23500	Taxes Payable - Sales & Use	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-DELRAY	Mint Delray Beach	10000	Cash on Hand	00-00	2026-01-07 DS	1.00		1,506.60	0.00
FLD-DELRAY	Mint Delray Beach	11010	Debit Card Receivable	00-00	2026-01-07 DS	1.00		180.00	0.00
FLD-DELRAY	Mint Delray Beach	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-07 DS	1.00		0.00	14.50
FLD-DELRAY	Mint Delray Beach	50000	Retail - Consumable Products for Resale	00-00	2026-01-07 DS	1.00		692.14	0.00
FLD-DELRAY	Mint Delray Beach	12250	Inventory - Finished Goods	00-00	2026-01-07 DS	1.00		0.00	692.14
FLD-SARASO	Mint Sarasota	40001	Retail Income: Retail Sales	00-00	2026-01-07 DS	1.00		0.00	5,830.00
FLD-SARASO	Mint Sarasota	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-07 DS	1.00		2,978.40	0.00
FLD-SARASO	Mint Sarasota	40003	Retail Income: Sales Return	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-SARASO	Mint Sarasota	40004	Loyalty Discounts	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-SARASO	Mint Sarasota	23500	Taxes Payable - Sales & Use	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-SARASO	Mint Sarasota	10000	Cash on Hand	00-00	2026-01-07 DS	1.00		1,895.40	0.00
FLD-SARASO	Mint Sarasota	11010	Debit Card Receivable	00-00	2026-01-07 DS	1.00		1,040.00	0.00
FLD-SARASO	Mint Sarasota	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-07 DS	1.00		0.00	83.80
FLD-SARASO	Mint Sarasota	50000	Retail - Consumable Products for Resale	00-00	2026-01-07 DS	1.00		1,495.66	0.00
FLD-SARASO	Mint Sarasota	12250	Inventory - Finished Goods	00-00	2026-01-07 DS	1.00		0.00	1,495.66
FLD-STUART	Mint Stuart	40001	Retail Income: Retail Sales	00-00	2026-01-07 DS	1.00		0.00	4,585.00
FLD-STUART	Mint Stuart	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-07 DS	1.00		2,397.00	0.00
FLD-STUART	Mint Stuart	40003	Retail Income: Sales Return	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-STUART	Mint Stuart	40004	Loyalty Discounts	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-STUART	Mint Stuart	23500	Taxes Payable - Sales & Use	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-STUART	Mint Stuart	10000	Cash on Hand	00-00	2026-01-07 DS	1.00		1,355.75	0.00
FLD-STUART	Mint Stuart	11010	Debit Card Receivable	00-00	2026-01-07 DS	1.00		870.00	0.00
FLD-STUART	Mint Stuart	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-07 DS	1.00		0.00	37.75
FLD-STUART	Mint Stuart	50000	Retail - Consumable Products for Resale	00-00	2026-01-07 DS	1.00		1,004.49	0.00
FLD-STUART	Mint Stuart	12250	Inventory - Finished Goods	00-00	2026-01-07 DS	1.00		0.00	1,004.49
FLD-BONITA	Mint Bonita Springs 	40001	Retail Income: Retail Sales	00-00	2026-01-07 DS	1.00		0.00	1,862.00
FLD-BONITA	Mint Bonita Springs 	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-07 DS	1.00		1,098.50	0.00
FLD-BONITA	Mint Bonita Springs 	40003	Retail Income: Sales Return	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-BONITA	Mint Bonita Springs 	40004	Loyalty Discounts	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-BONITA	Mint Bonita Springs 	23500	Taxes Payable - Sales & Use	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-BONITA	Mint Bonita Springs 	10000	Cash on Hand	00-00	2026-01-07 DS	1.00		349.00	0.00
FLD-BONITA	Mint Bonita Springs 	11010	Debit Card Receivable	00-00	2026-01-07 DS	1.00		430.00	0.00
FLD-BONITA	Mint Bonita Springs 	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-07 DS	1.00		0.00	15.50
FLD-BONITA	Mint Bonita Springs 	50000	Retail - Consumable Products for Resale	00-00	2026-01-07 DS	1.00		318.68	0.00
FLD-BONITA	Mint Bonita Springs 	12250	Inventory - Finished Goods	00-00	2026-01-07 DS	1.00		0.00	318.68
FLD-BRADEN	Mint Bradenton	40001	Retail Income: Retail Sales	00-00	2026-01-07 DS	1.00		0.00	1,961.00
FLD-BRADEN	Mint Bradenton	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-07 DS	1.00		990.80	0.00
FLD-BRADEN	Mint Bradenton	40003	Retail Income: Sales Return	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-BRADEN	Mint Bradenton	40004	Loyalty Discounts	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-BRADEN	Mint Bradenton	23500	Taxes Payable - Sales & Use	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-BRADEN	Mint Bradenton	10000	Cash on Hand	00-00	2026-01-07 DS	1.00		552.50	0.00
FLD-BRADEN	Mint Bradenton	11010	Debit Card Receivable	00-00	2026-01-07 DS	1.00		440.00	0.00
FLD-BRADEN	Mint Bradenton	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-07 DS	1.00		0.00	22.30
FLD-BRADEN	Mint Bradenton	50000	Retail - Consumable Products for Resale	00-00	2026-01-07 DS	1.00		498.94	0.00
FLD-BRADEN	Mint Bradenton	12250	Inventory - Finished Goods	00-00	2026-01-07 DS	1.00		0.00	498.94
FLD-MIAMI	Mint Miami	40001	Retail Income: Retail Sales	00-00	2026-01-07 DS	1.00		0.00	3,462.00
FLD-MIAMI	Mint Miami	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-07 DS	1.00		1,856.40	0.00
FLD-MIAMI	Mint Miami	40003	Retail Income: Sales Return	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-MIAMI	Mint Miami	40004	Loyalty Discounts	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-MIAMI	Mint Miami	23500	Taxes Payable - Sales & Use	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-MIAMI	Mint Miami	10000	Cash on Hand	00-00	2026-01-07 DS	1.00		609.75	0.00
FLD-MIAMI	Mint Miami	11010	Debit Card Receivable	00-00	2026-01-07 DS	1.00		1,042.50	0.00
FLD-MIAMI	Mint Miami	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-07 DS	1.00		0.00	46.65
FLD-MIAMI	Mint Miami	50000	Retail - Consumable Products for Resale	00-00	2026-01-07 DS	1.00		640.63	0.00
FLD-MIAMI	Mint Miami	12250	Inventory - Finished Goods	00-00	2026-01-07 DS	1.00		0.00	640.63
FLD-O10615	Mint Orlando 	40001	Retail Income: Retail Sales	00-00	2026-01-07 DS	1.00		0.00	2,255.00
FLD-O10615	Mint Orlando 	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-07 DS	1.00		1,367.40	0.00
FLD-O10615	Mint Orlando 	40003	Retail Income: Sales Return	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-O10615	Mint Orlando 	40004	Loyalty Discounts	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-O10615	Mint Orlando 	23500	Taxes Payable - Sales & Use	00-00	2026-01-07 DS	1.00		0.00	0.00
FLD-O10615	Mint Orlando 	10000	Cash on Hand	00-00	2026-01-07 DS	1.00		805.00	0.00
FLD-O10615	Mint Orlando 	11010	Debit Card Receivable	00-00	2026-01-07 DS	1.00		100.00	0.00
FLD-O10615	Mint Orlando 	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-07 DS	1.00		0.00	17.40
FLD-O10615	Mint Orlando 	50000	Retail - Consumable Products for Resale	00-00	2026-01-07 DS	1.00		426.65	0.00
FLD-O10615	Mint Orlando 	12250	Inventory - Finished Goods	00-00	2026-01-07 DS	1.00		0.00	426.65
AZD-UH	Mint Bell Road Phoenix	40001	Retail Income: Retail Sales	00-00	2026-01-07 DS	1.00		0.00	34,701.53
