# GL Journal Export - 2026-01-09
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-17T00:33:20.555Z
# Time basis: Local store time (per-store timezone conversion)
# NOTE: Verify branch codes and account mappings match your accounting system.
#
Branch	Dutchie Store Name	Account	Description	Subaccount	Ref. Number	Quantity	UOM	Debit Amount	Credit Amount
MID-KALAMA	Mint Kalamazoo	40001	Retail Income: Retail Sales	00-00	2026-01-09 DS	1.00		0.00	7,275.89
MID-KALAMA	Mint Kalamazoo	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-09 DS	1.00		2,144.39	0.00
MID-KALAMA	Mint Kalamazoo	40003	Retail Income: Sales Return	00-00	2026-01-09 DS	1.00		0.00	0.00
MID-KALAMA	Mint Kalamazoo	40004	Loyalty Discounts	00-00	2026-01-09 DS	1.00		186.74	0.00
MID-KALAMA	Mint Kalamazoo	23500	Taxes Payable - Sales & Use	00-00	2026-01-09 DS	1.00		0.00	851.74
MID-KALAMA	Mint Kalamazoo	10000	Cash on Hand	00-00	2026-01-09 DS	1.00		5,537.00	0.00
MID-KALAMA	Mint Kalamazoo	11010	Debit Card Receivable	00-00	2026-01-09 DS	1.00		0.00	0.00
MID-KALAMA	Mint Kalamazoo	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-09 DS	1.00		0.00	259.50
MID-KALAMA	Mint Kalamazoo	50000	Retail - Consumable Products for Resale	00-00	2026-01-09 DS	1.00		3,101.39	0.00
MID-KALAMA	Mint Kalamazoo	12250	Inventory - Finished Goods	00-00	2026-01-09 DS	1.00		0.00	3,101.39
NVD-RAIN	Mint Spring Valley	40001	Retail Income: Retail Sales	00-00	2026-01-09 DS	1.00		0.00	5,963.57
NVD-RAIN	Mint Spring Valley	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-09 DS	1.00		1,947.53	0.00
NVD-RAIN	Mint Spring Valley	40003	Retail Income: Sales Return	00-00	2026-01-09 DS	1.00		0.00	0.00
NVD-RAIN	Mint Spring Valley	40004	Loyalty Discounts	00-00	2026-01-09 DS	1.00		0.00	0.00
NVD-RAIN	Mint Spring Valley	23500	Taxes Payable - Sales & Use	00-00	2026-01-09 DS	1.00		0.00	734.91
NVD-RAIN	Mint Spring Valley	10000	Cash on Hand	00-00	2026-01-09 DS	1.00		4,355.39	0.00
NVD-RAIN	Mint Spring Valley	11010	Debit Card Receivable	00-00	2026-01-09 DS	1.00		0.00	0.00
NVD-RAIN	Mint Spring Valley	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-09 DS	1.00		0.00	395.56
NVD-RAIN	Mint Spring Valley	50000	Retail - Consumable Products for Resale	00-00	2026-01-09 DS	1.00		2,461.22	0.00
