Branch,Account,Description,Subaccount,Ref. Number,Quantity,UOM,Debit Amount,Credit Amount,Transaction Description,Customer/Vendor
MIC-KALMZO,40001,Retail Income: Retail Sales,00-00,2026-01-13 DS,657.6799999999997,EA,,5959.01,Daily Sales,Various
MIC-KALMZO,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-13 DS,,,1667.58,,Daily Discounts,Various
MIC-KALMZO,40004,Loyalty Discounts,00-00,2026-01-13 DS,,,184.28,,Loyalty Redeemed,Various
MIC-KALMZO,23500,Taxes Payable - Sales & Use,00-00,2026-01-13 DS,,,,709.19,Sales Tax Collected,State Tax Authority
MIC-KALMZO,10000,Cash on Hand,00-00,2026-01-13 DS,,,4891.38,,Cash Received,Various
MIC-KALMZO,50000,Retail - Consumable Products for Resale,00-00,2026-01-13 DS,,,2571.08,,Cost of Goods Sold,Various
MIC-KALMZO,12250,Inventory - Finished Goods,00-00,2026-01-13 DS,,,,2571.08,Inventory Reduction,Various
MIC-KALMZO,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-13 DS,,,,75.04,Balancing Entry,Internal
NVD-SPRVAL,40001,Retail Income: Retail Sales,00-00,2026-01-13 DS,244,EA,,5826.01,Daily Sales,Various
NVD-SPRVAL,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-13 DS,,,2212.22,,Daily Discounts,Various
NVD-SPRVAL,23500,Taxes Payable - Sales & Use,00-00,2026-01-13 DS,,,,660.58,Sales Tax Collected,State Tax Authority
NVD-SPRVAL,10000,Cash on Hand,00-00,2026-01-13 DS,,,3689.33,,Cash Received,Various
NVD-SPRVAL,50000,Retail - Consumable Products for Resale,00-00,2026-01-13 DS,,,2409.83,,Cost of Goods Sold,Various
NVD-SPRVAL,12250,Inventory - Finished Goods,00-00,2026-01-13 DS,,,,2409.83,Inventory Reduction,Various
NVD-SPRVAL,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-13 DS,,,585.04,,Balancing Entry,Internal
MOS-STPETE,40001,Retail Income: Retail Sales,00-00,2026-01-13 DS,708,EA,,23222.07,Daily Sales,Various
MOS-STPETE,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-13 DS,,,7843.28,,Daily Discounts,Various
MOS-STPETE,23500,Taxes Payable - Sales & Use,00-00,2026-01-13 DS,,,,2536.59,Sales Tax Collected,State Tax Authority
MOS-STPETE,10000,Cash on Hand,00-00,2026-01-13 DS,,,16772.77,,Cash Received,Various
MOS-STPETE,50000,Retail - Consumable Products for Resale,00-00,2026-01-13 DS,,,11389.44,,Cost of Goods Sold,Various
MOS-STPETE,12250,Inventory - Finished Goods,00-00,2026-01-13 DS,,,,11389.44,Inventory Reduction,Various
MOS-STPETE,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-13 DS,,,1142.61,,Balancing Entry,Internal
AZN-MESA,40001,Retail Income: Retail Sales,00-00,2026-01-13 DS,1455,EA,,33647.00,Daily Sales,Various
AZN-MESA,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-13 DS,,,12244.05,,Daily Discounts,Various
AZN-MESA,23500,Taxes Payable - Sales & Use,00-00,2026-01-13 DS,,,,4791.52,Sales Tax Collected,State Tax Authority
AZN-MESA,10000,Cash on Hand,00-00,2026-01-13 DS,,,25832.30,,Cash Received,Various
AZN-MESA,50000,Retail - Consumable Products for Resale,00-00,2026-01-13 DS,,,10016.64,,Cost of Goods Sold,Various
AZN-MESA,12250,Inventory - Finished Goods,00-00,2026-01-13 DS,,,,10016.64,Inventory Reduction,Various
AZN-MESA,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-13 DS,,,362.17,,Balancing Entry,Internal
FLD-JACKSON,40001,Retail Income: Retail Sales,00-00,2026-01-13 DS,74,EA,,2929.99,Daily Sales,Various
FLD-JACKSON,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-13 DS,,,1444.14,,Daily Discounts,Various
FLD-JACKSON,10000,Cash on Hand,00-00,2026-01-13 DS,,,1001.85,,Cash Received,Various
FLD-JACKSON,11010,Debit Card Receivable,00-00,2026-01-13 DS,,,400.00,,Debit Payments,Various
FLD-JACKSON,50000,Retail - Consumable Products for Resale,00-00,2026-01-13 DS,,,655.43,,Cost of Goods Sold,Various
FLD-JACKSON,12250,Inventory - Finished Goods,00-00,2026-01-13 DS,,,,655.43,Inventory Reduction,Various
FLD-JACKSON,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-13 DS,,,84.00,,Balancing Entry,Internal
FLD-DELRAY,40001,Retail Income: Retail Sales,00-00,2026-01-13 DS,58,EA,,3001.00,Daily Sales,Various
FLD-DELRAY,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-13 DS,,,1623.75,,Daily Discounts,Various
FLD-DELRAY,10000,Cash on Hand,00-00,2026-01-13 DS,,,592.75,,Cash Received,Various
FLD-DELRAY,11010,Debit Card Receivable,00-00,2026-01-13 DS,,,620.00,,Debit Payments,Various
FLD-DELRAY,50000,Retail - Consumable Products for Resale,00-00,2026-01-13 DS,,,682.83,,Cost of Goods Sold,Various
FLD-DELRAY,12250,Inventory - Finished Goods,00-00,2026-01-13 DS,,,,682.83,Inventory Reduction,Various
FLD-DELRAY,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-13 DS,,,164.50,,Balancing Entry,Internal
FLD-SARSTA,40001,Retail Income: Retail Sales,00-00,2026-01-13 DS,265,EA,,9309.99,Daily Sales,Various
FLD-SARSTA,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-13 DS,,,5085.04,,Daily Discounts,Various
FLD-SARSTA,10000,Cash on Hand,00-00,2026-01-13 DS,,,2062.95,,Cash Received,Various
FLD-SARSTA,11010,Debit Card Receivable,00-00,2026-01-13 DS,,,1820.00,,Debit Payments,Various
FLD-SARSTA,50000,Retail - Consumable Products for Resale,00-00,2026-01-13 DS,,,1400.68,,Cost of Goods Sold,Various
FLD-SARSTA,12250,Inventory - Finished Goods,00-00,2026-01-13 DS,,,,1400.68,Inventory Reduction,Various
FLD-SARSTA,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-13 DS,,,342.00,,Balancing Entry,Internal
FLD-STUART,40001,Retail Income: Retail Sales,00-00,2026-01-13 DS,96,EA,,4263.00,Daily Sales,Various
FLD-STUART,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-13 DS,,,2198.25,,Daily Discounts,Various
FLD-STUART,10000,Cash on Hand,00-00,2026-01-13 DS,,,1014.75,,Cash Received,Various
FLD-STUART,11010,Debit Card Receivable,00-00,2026-01-13 DS,,,770.00,,Debit Payments,Various
FLD-STUART,50000,Retail - Consumable Products for Resale,00-00,2026-01-13 DS,,,1164.07,,Cost of Goods Sold,Various
FLD-STUART,12250,Inventory - Finished Goods,00-00,2026-01-13 DS,,,,1164.07,Inventory Reduction,Various
FLD-STUART,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-13 DS,,,280.00,,Balancing Entry,Internal
FLD-BONITA,40001,Retail Income: Retail Sales,00-00,2026-01-13 DS,48,EA,,2563.00,Daily Sales,Various
FLD-BONITA,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-13 DS,,,1465.00,,Daily Discounts,Various
FLD-BONITA,10000,Cash on Hand,00-00,2026-01-13 DS,,,877.00,,Cash Received,Various
FLD-BONITA,11010,Debit Card Receivable,00-00,2026-01-13 DS,,,176.00,,Debit Payments,Various
FLD-BONITA,50000,Retail - Consumable Products for Resale,00-00,2026-01-13 DS,,,613.17,,Cost of Goods Sold,Various
FLD-BONITA,12250,Inventory - Finished Goods,00-00,2026-01-13 DS,,,,613.17,Inventory Reduction,Various
FLD-BONITA,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-13 DS,,,45.00,,Balancing Entry,Internal
FLD-BRADEN,40001,Retail Income: Retail Sales,00-00,2026-01-13 DS,71,EA,,2441.00,Daily Sales,Various
FLD-BRADEN,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-13 DS,,,1249.91,,Daily Discounts,Various
FLD-BRADEN,10000,Cash on Hand,00-00,2026-01-13 DS,,,450.09,,Cash Received,Various
FLD-BRADEN,11010,Debit Card Receivable,00-00,2026-01-13 DS,,,630.00,,Debit Payments,Various
FLD-BRADEN,50000,Retail - Consumable Products for Resale,00-00,2026-01-13 DS,,,586.46,,Cost of Goods Sold,Various
FLD-BRADEN,12250,Inventory - Finished Goods,00-00,2026-01-13 DS,,,,586.46,Inventory Reduction,Various
FLD-BRADEN,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-13 DS,,,111.00,,Balancing Entry,Internal
FLD-MIAMI,40001,Retail Income: Retail Sales,00-00,2026-01-13 DS,33,EA,,1722.00,Daily Sales,Various
FLD-MIAMI,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-13 DS,,,1037.95,,Daily Discounts,Various
FLD-MIAMI,10000,Cash on Hand,00-00,2026-01-13 DS,,,314.05,,Cash Received,Various
FLD-MIAMI,11010,Debit Card Receivable,00-00,2026-01-13 DS,,,330.00,,Debit Payments,Various
FLD-MIAMI,50000,Retail - Consumable Products for Resale,00-00,2026-01-13 DS,,,361.67,,Cost of Goods Sold,Various
FLD-MIAMI,12250,Inventory - Finished Goods,00-00,2026-01-13 DS,,,,361.67,Inventory Reduction,Various
FLD-MIAMI,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-13 DS,,,40.00,,Balancing Entry,Internal
FLD-ORLANDO,40001,Retail Income: Retail Sales,00-00,2026-01-13 DS,72,EA,,3771.00,Daily Sales,Various
FLD-ORLANDO,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-13 DS,,,2244.20,,Daily Discounts,Various
FLD-ORLANDO,10000,Cash on Hand,00-00,2026-01-13 DS,,,1156.80,,Cash Received,Various
FLD-ORLANDO,11010,Debit Card Receivable,00-00,2026-01-13 DS,,,370.00,,Debit Payments,Various
