# GL Journal Export - 2026-01-13
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-15T00:28:50.850Z
# NOTE: Verify branch codes and account mappings match your accounting system.
# Branch codes in this export are derived from Dutchie location names.
#
Branch	Dutchie Store Name	Account	Description	Subaccount	Ref. Number	Quantity	UOM	Debit Amount	Credit Amount
MID-KALAMA	Mint Kalamazoo	40001	Retail Income: Retail Sales	00-00	2026-01-13 DS	1.00		0.00	5,959.01
MID-KALAMA	Mint Kalamazoo	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-13 DS	1.00		1,667.58	0.00
MID-KALAMA	Mint Kalamazoo	40003	Retail Income: Sales Return	00-00	2026-01-13 DS	1.00		0.00	0.00
MID-KALAMA	Mint Kalamazoo	40004	Loyalty Discounts	00-00	2026-01-13 DS	1.00		184.28	0.00
MID-KALAMA	Mint Kalamazoo	23500	Taxes Payable - Sales & Use	00-00	2026-01-13 DS	1.00		0.00	709.19
MID-KALAMA	Mint Kalamazoo	10000	Cash on Hand	00-00	2026-01-13 DS	1.00		4,891.38	0.00
MID-KALAMA	Mint Kalamazoo	11010	Debit Card Receivable	00-00	2026-01-13 DS	1.00		0.00	0.00
MID-KALAMA	Mint Kalamazoo	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-13 DS	1.00		75.04	0.00
MID-KALAMA	Mint Kalamazoo	50000	Retail - Consumable Products for Resale	00-00	2026-01-13 DS	1.00		2,571.08	0.00
MID-KALAMA	Mint Kalamazoo	12250	Inventory - Finished Goods	00-00	2026-01-13 DS	1.00		0.00	2,571.08
NVD-RAIN	Mint Spring Valley	40001	Retail Income: Retail Sales	00-00	2026-01-13 DS	1.00		0.00	5,826.01
NVD-RAIN	Mint Spring Valley	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-13 DS	1.00		2,212.22	0.00
NVD-RAIN	Mint Spring Valley	40003	Retail Income: Sales Return	00-00	2026-01-13 DS	1.00		0.00	0.00
NVD-RAIN	Mint Spring Valley	40004	Loyalty Discounts	00-00	2026-01-13 DS	1.00		0.00	0.00
NVD-RAIN	Mint Spring Valley	23500	Taxes Payable - Sales & Use	00-00	2026-01-13 DS	1.00		0.00	660.58
NVD-RAIN	Mint Spring Valley	10000	Cash on Hand	00-00	2026-01-13 DS	1.00		3,689.33	0.00
NVD-RAIN	Mint Spring Valley	11010	Debit Card Receivable	00-00	2026-01-13 DS	1.00		0.00	0.00
NVD-RAIN	Mint Spring Valley	70260	Overage/Shortage: Cash Ledger Adj	00-00	2026-01-13 DS	1.00		0.00	585.04
NVD-RAIN	Mint Spring Valley	50000	Retail - Consumable Products for Resale	00-00	2026-01-13 DS	1.00		2,409.83	0.00
NVD-RAIN	Mint Spring Valley	12250	Inventory - Finished Goods	00-00	2026-01-13 DS	1.00		0.00	2,409.83
MOD-MO4	Mint St. Peters	40001	Retail Income: Retail Sales	00-00	2026-01-13 DS	1.00		0.00	23,222.07
MOD-MO4	Mint St. Peters	40002	Retail Income: Retail: Discounts and Coupons	00-00	2026-01-13 DS	1.00		7,843.28	0.00
MOD-MO4	Mint St. Peters	40003	Retail Income: Sales Return	00-00	2026-01-13 DS	1.00		0.00	0.00
MOD-MO4	Mint St. Peters	40004	Loyalty Discounts	00-00	2026-01-13 DS	1.00		0.00	0.00
MOD-MO4	Mint St. Peters	23500	Taxes Payable - Sales & Use	00-00	2026-01-13 DS	1.00		0.00	2,536.59
MOD-MO4	Mint St. Peters	10000	Cash on Hand	00-00	2026-01-13 DS	1.00		16,772.77	0.00
MOD-MO4	Mint St. Peters	11010	Debit Card Receivable	00-00	2026-01-13 DS	1.00		0.00	0.00
