Branch,Dutchie Store Name,Account,Description,Subaccount,Ref. Number,Quantity,UOM,Debit Amount,Credit Amount
MID-KALAMA,Mint Kalamazoo,40001,Retail Income: Retail Sales,00-00,2026-01-14 DS,1.00,,0.00,"6,600.47"
MID-KALAMA,Mint Kalamazoo,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-14 DS,1.00,,"1,690.78",0.00
MID-KALAMA,Mint Kalamazoo,40003,Retail Income: Sales Return,00-00,2026-01-14 DS,1.00,,0.00,0.00
MID-KALAMA,Mint Kalamazoo,40004,Loyalty Discounts,00-00,2026-01-14 DS,1.00,,250.92,0.00
MID-KALAMA,Mint Kalamazoo,23500,Taxes Payable - Sales & Use,00-00,2026-01-14 DS,1.00,,0.00,815.03
MID-KALAMA,Mint Kalamazoo,10000,Cash on Hand,00-00,2026-01-14 DS,1.00,,"4,927.00",0.00
MID-KALAMA,Mint Kalamazoo,11010,Debit Card Receivable,00-00,2026-01-14 DS,1.00,,0.00,0.00
MID-KALAMA,Mint Kalamazoo,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-14 DS,1.00,,0.00,546.80
MID-KALAMA,Mint Kalamazoo,50000,Retail - Consumable Products for Resale,00-00,2026-01-14 DS,1.00,,"2,970.14",0.00
MID-KALAMA,Mint Kalamazoo,12250,Inventory - Finished Goods,00-00,2026-01-14 DS,1.00,,0.00,"2,970.14"
NVD-RAIN,Mint Spring Valley,40001,Retail Income: Retail Sales,00-00,2026-01-14 DS,1.00,,0.00,"3,344.00"
NVD-RAIN,Mint Spring Valley,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-14 DS,1.00,,"1,098.55",0.00
NVD-RAIN,Mint Spring Valley,40003,Retail Income: Sales Return,00-00,2026-01-14 DS,1.00,,0.00,0.00
NVD-RAIN,Mint Spring Valley,40004,Loyalty Discounts,00-00,2026-01-14 DS,1.00,,0.00,0.00
NVD-RAIN,Mint Spring Valley,23500,Taxes Payable - Sales & Use,00-00,2026-01-14 DS,1.00,,0.00,410.67
NVD-RAIN,Mint Spring Valley,10000,Cash on Hand,00-00,2026-01-14 DS,1.00,,"2,276.90",0.00
NVD-RAIN,Mint Spring Valley,11010,Debit Card Receivable,00-00,2026-01-14 DS,1.00,,0.00,0.00
NVD-RAIN,Mint Spring Valley,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-14 DS,1.00,,0.00,379.22
NVD-RAIN,Mint Spring Valley,50000,Retail - Consumable Products for Resale,00-00,2026-01-14 DS,1.00,,"1,319.07",0.00
NVD-RAIN,Mint Spring Valley,12250,Inventory - Finished Goods,00-00,2026-01-14 DS,1.00,,0.00,"1,319.07"
MOD-MO4,Mint St. Peters,40001,Retail Income: Retail Sales,00-00,2026-01-14 DS,1.00,,0.00,"31,036.24"
MOD-MO4,Mint St. Peters,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-14 DS,1.00,,"11,123.74",0.00
MOD-MO4,Mint St. Peters,40003,Retail Income: Sales Return,00-00,2026-01-14 DS,1.00,,0.00,0.00
MOD-MO4,Mint St. Peters,40004,Loyalty Discounts,00-00,2026-01-14 DS,1.00,,0.00,0.00
MOD-MO4,Mint St. Peters,23500,Taxes Payable - Sales & Use,00-00,2026-01-14 DS,1.00,,0.00,"3,259.34"
MOD-MO4,Mint St. Peters,10000,Cash on Hand,00-00,2026-01-14 DS,1.00,,"22,203.68",0.00
MOD-MO4,Mint St. Peters,11010,Debit Card Receivable,00-00,2026-01-14 DS,1.00,,0.00,0.00
MOD-MO4,Mint St. Peters,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-14 DS,1.00,,0.00,968.16
MOD-MO4,Mint St. Peters,50000,Retail - Consumable Products for Resale,00-00,2026-01-14 DS,1.00,,"15,053.43",0.00
MOD-MO4,Mint St. Peters,12250,Inventory - Finished Goods,00-00,2026-01-14 DS,1.00,,0.00,"15,053.43"
AZD-4245IN,Mint Mesa ,40001,Retail Income: Retail Sales,00-00,2026-01-14 DS,1.00,,0.00,"39,228.00"
AZD-4245IN,Mint Mesa ,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-14 DS,1.00,,"14,226.41",0.00
AZD-4245IN,Mint Mesa ,40003,Retail Income: Sales Return,00-00,2026-01-14 DS,1.00,,0.00,0.00
AZD-4245IN,Mint Mesa ,40004,Loyalty Discounts,00-00,2026-01-14 DS,1.00,,0.00,0.00
AZD-4245IN,Mint Mesa ,23500,Taxes Payable - Sales & Use,00-00,2026-01-14 DS,1.00,,0.00,"5,490.11"
AZD-4245IN,Mint Mesa ,10000,Cash on Hand,00-00,2026-01-14 DS,1.00,,"29,417.99",0.00
AZD-4245IN,Mint Mesa ,11010,Debit Card Receivable,00-00,2026-01-14 DS,1.00,,0.00,0.00
AZD-4245IN,Mint Mesa ,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-14 DS,1.00,,0.00,"1,073.71"
AZD-4245IN,Mint Mesa ,50000,Retail - Consumable Products for Resale,00-00,2026-01-14 DS,1.00,,"11,993.58",0.00
AZD-4245IN,Mint Mesa ,12250,Inventory - Finished Goods,00-00,2026-01-14 DS,1.00,,0.00,"11,993.58"
FLD-JA4332,Mint Jacksonville,40001,Retail Income: Retail Sales,00-00,2026-01-14 DS,1.00,,0.00,"3,238.00"
FLD-JA4332,Mint Jacksonville,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-14 DS,1.00,,"1,774.25",0.00
FLD-JA4332,Mint Jacksonville,40003,Retail Income: Sales Return,00-00,2026-01-14 DS,1.00,,0.00,0.00
FLD-JA4332,Mint Jacksonville,40004,Loyalty Discounts,00-00,2026-01-14 DS,1.00,,0.00,0.00
FLD-JA4332,Mint Jacksonville,23500,Taxes Payable - Sales & Use,00-00,2026-01-14 DS,1.00,,0.00,0.00
FLD-JA4332,Mint Jacksonville,10000,Cash on Hand,00-00,2026-01-14 DS,1.00,,403.75,0.00
FLD-JA4332,Mint Jacksonville,11010,Debit Card Receivable,00-00,2026-01-14 DS,1.00,,"1,060.00",0.00
FLD-JA4332,Mint Jacksonville,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-14 DS,1.00,,0.00,0.00
FLD-JA4332,Mint Jacksonville,50000,Retail - Consumable Products for Resale,00-00,2026-01-14 DS,1.00,,"2,230.44",0.00
FLD-JA4332,Mint Jacksonville,12250,Inventory - Finished Goods,00-00,2026-01-14 DS,1.00,,0.00,"2,230.44"
FLD-DELRAY,Mint Delray Beach,40001,Retail Income: Retail Sales,00-00,2026-01-14 DS,1.00,,0.00,"3,389.00"
FLD-DELRAY,Mint Delray Beach,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-14 DS,1.00,,"1,861.80",0.00
FLD-DELRAY,Mint Delray Beach,40003,Retail Income: Sales Return,00-00,2026-01-14 DS,1.00,,0.00,0.00
FLD-DELRAY,Mint Delray Beach,40004,Loyalty Discounts,00-00,2026-01-14 DS,1.00,,0.00,0.00
FLD-DELRAY,Mint Delray Beach,23500,Taxes Payable - Sales & Use,00-00,2026-01-14 DS,1.00,,0.00,0.00
FLD-DELRAY,Mint Delray Beach,10000,Cash on Hand,00-00,2026-01-14 DS,1.00,,"1,065.20",0.00
FLD-DELRAY,Mint Delray Beach,11010,Debit Card Receivable,00-00,2026-01-14 DS,1.00,,450.00,0.00
FLD-DELRAY,Mint Delray Beach,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-14 DS,1.00,,0.00,12.00
FLD-DELRAY,Mint Delray Beach,50000,Retail - Consumable Products for Resale,00-00,2026-01-14 DS,1.00,,916.01,0.00
FLD-DELRAY,Mint Delray Beach,12250,Inventory - Finished Goods,00-00,2026-01-14 DS,1.00,,0.00,916.01
FLD-SARASO,Mint Sarasota,40001,Retail Income: Retail Sales,00-00,2026-01-14 DS,1.00,,0.00,"5,834.98"
FLD-SARASO,Mint Sarasota,40002,Retail Income: Retail: Discounts and Coupons,00-00,2026-01-14 DS,1.00,,"3,160.35",0.00
FLD-SARASO,Mint Sarasota,40003,Retail Income: Sales Return,00-00,2026-01-14 DS,1.00,,0.00,0.00
FLD-SARASO,Mint Sarasota,40004,Loyalty Discounts,00-00,2026-01-14 DS,1.00,,0.00,0.00
FLD-SARASO,Mint Sarasota,23500,Taxes Payable - Sales & Use,00-00,2026-01-14 DS,1.00,,0.00,0.00
FLD-SARASO,Mint Sarasota,10000,Cash on Hand,00-00,2026-01-14 DS,1.00,,"1,584.63",0.00
FLD-SARASO,Mint Sarasota,11010,Debit Card Receivable,00-00,2026-01-14 DS,1.00,,"1,090.00",0.00
FLD-SARASO,Mint Sarasota,70260,Overage/Shortage: Cash Ledger Adj,00-00,2026-01-14 DS,1.00,,0.00,0.00
FLD-SARASO,Mint Sarasota,50000,Retail - Consumable Products for Resale,00-00,2026-01-14 DS,1.00,,"1,269.14",0.00
FLD-SARASO,Mint Sarasota,12250,Inventory - Finished Goods,00-00,2026-01-14 DS,1.00,,0.00,"1,269.14"
FLD-STUART,Mint Stuart,40001,Retail Income: Retail Sales,00-00,2026-01-14 DS,1.00,,0.00,"3,689.00"
