# GL Journal Export - 2026-01-17
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-19T18:58:17.526Z
# Time basis: Local store time (per-store timezone conversion)
# NOTE: Verify branch codes and account mappings match your accounting system.
#
Branch,Account,Account Description,Subaccount,Ref. Number,Debit Amount,Credit Amount,Description
AZV-ENCANT,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"33,608.12",2026-01-17 DS - Mint 75th Ave Phoenix: Daily Sales
AZV-ENCANT,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"13,681.77",0.00,2026-01-17 DS - Mint 75th Ave Phoenix: Daily Sales
AZV-ENCANT,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint 75th Ave Phoenix: Daily Sales
AZV-ENCANT,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint 75th Ave Phoenix: Daily Sales
AZV-ENCANT,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,"4,752.93",2026-01-17 DS - Mint 75th Ave Phoenix: Daily Sales
AZV-ENCANT,10000,Cash on Hand,00-00,2026-01-17 DS,"23,813.89",0.00,2026-01-17 DS - Mint 75th Ave Phoenix: Daily Sales
AZV-ENCANT,11010,Debit Card Receivable,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint 75th Ave Phoenix: Daily Sales
AZV-ENCANT,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,865.39,0.00,2026-01-17 DS - Mint 75th Ave Phoenix: Daily Sales
AZV-ENCANT,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,"13,536.00",0.00,2026-01-17 DS - Mint 75th Ave Phoenix: Daily Sales
AZV-ENCANT,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,"13,536.00",2026-01-17 DS - Mint 75th Ave Phoenix: Daily Sales
AZD-UH,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"46,904.10",2026-01-17 DS - Mint Bell Road Phoenix: Daily Sales
