Branch	Store Name	Hour (UTC)	Sales	Transactions	Discounts	Tax	Returns	Net Sales
MID-KALAMA	Mint Kalamazoo	0	2264.73	64	496.65	292.65	0.00	1768.08
MID-KALAMA	Mint Kalamazoo	1	2150.94	49	531.99	268.77	0.00	1618.95
MID-KALAMA	Mint Kalamazoo	2	129.90	2	20.85	18.10	0.00	109.05
MID-KALAMA	Mint Kalamazoo	3	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	4	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	5	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	6	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	7	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	8	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	9	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	10	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	11	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	12	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	13	0.00	0	0.00	0.00	0.00	0.00
MID-KALAMA	Mint Kalamazoo	14	3111.41	57	1012.55	348.18	0.00	2098.86
MID-KALAMA	Mint Kalamazoo	15	2472.34	44	838.89	271.13	0.00	1633.45
MID-KALAMA	Mint Kalamazoo	16	1304.36	33	282.88	169.43	0.00	1021.48
MID-KALAMA	Mint Kalamazoo	17	2632.91	51	585.43	339.88	0.00	2047.48
MID-KALAMA	Mint Kalamazoo	18	2970.13	65	721.65	372.23	0.00	2248.48
MID-KALAMA	Mint Kalamazoo	19	4662.34	83	1113.22	589.14	0.00	3549.12
MID-KALAMA	Mint Kalamazoo	20	3747.52	81	883.47	475.21	0.00	2864.05
MID-KALAMA	Mint Kalamazoo	21	4525.81	87	1269.71	536.95	0.00	3256.10
MID-KALAMA	Mint Kalamazoo	22	4284.09	87	1161.10	518.39	0.00	3122.99
MID-KALAMA	Mint Kalamazoo	23	4711.80	97	1381.10	551.96	0.00	3330.70
NVD-RAIN	Mint Spring Valley	0	1912.00	42	689.75	224.64	0.00	1222.25
NVD-RAIN	Mint Spring Valley	1	2331.51	48	848.28	270.06	0.00	1483.23
NVD-RAIN	Mint Spring Valley	2	2516.14	53	891.12	298.45	0.00	1625.02
NVD-RAIN	Mint Spring Valley	3	2118.01	41	669.84	264.56	0.00	1448.17
NVD-RAIN	Mint Spring Valley	4	3436.04	62	1065.58	423.58	0.00	2370.46
